z	T	P	nabla_ad	S	rho	delta	cp	cv
0.0	6062.38027103	380.537504887	0.345925745336	174368.945312	9.84827686068e-06	1.01537727528	18555.8878677	11988.3392334
25000.0	6416.88798625	452.072027918	0.313055748153	174356.914575	1.10412107349e-05	1.02918593142	20705.7680389	13954.5649439
50000.0	6734.58165572	532.228351339	0.279005269563	174353.434749	1.23658340378e-05	1.04851951255	23621.3030147	16608.3440043
75000.0	7016.69388426	621.974800226	0.248349254495	174368.015885	1.38409155889e-05	1.07287336579	27111.9062813	19761.8102135
100000.0	7268.31859238	722.402175656	0.223110534817	174350.254188	1.54807087319e-05	1.10034714035	30935.6241249	23194.2151733
125000.0	7494.90458291	834.684489024	0.202491979039	174362.760375	1.7296843556e-05	1.13075375565	35050.1030292	26863.316711
150000.0	7701.19910886	960.06582889	0.18618990974	174356.544403	1.93027057671e-05	1.16244018593	39243.4716423	30577.6067005
175000.0	7891.49669714	1099.89346294	0.173198527287	174345.962354	2.15104332725e-05	1.19505711845	43461.8394569	34287.7290721
200000.0	8068.6727566	1255.61205501	0.162507412476	174375.713046	2.39325847718e-05	1.22897109613	47792.4440942	38072.5466468
225000.0	8235.21404329	1428.7427694	0.154069132882	174348.239631	2.65888964426e-05	1.26175572733	51892.4316749	41628.3377407
250000.0	8393.11172051	1620.9325636	0.147023481077	174346.23947	2.94905403147e-05	1.29505457848	56001.0824138	45167.7194327
275000.0	8543.60665282	1833.9439765	0.141096368747	174369.825342	3.26541312008e-05	1.32864427536	60116.5414776	48690.7525518
300000.0	8688.01605987	2069.64686382	0.136273578078	174342.467892	3.61049798644e-05	1.36058912135	63949.4686706	51944.2447696
325000.0	8827.26236401	2330.04720188	0.132126561552	174347.477731	3.98533415723e-05	1.39288859816	67798.1676047	55190.7395562
350000.0	8961.94396372	2617.26477741	0.128543615016	174364.930519	4.39215942706e-05	1.42499841189	71601.0722791	58377.8541067
375000.0	9092.8138979	2933.61901406	0.125612588641	174338.408949	4.83386869979e-05	1.45515909374	75106.273316	61289.0503325
400000.0	9220.35356385	3281.5426102	0.122996772302	174343.589105	5.3116357604e-05	1.48564224859	78637.1991209	64204.861435
425000.0	9344.87349114	3663.55448231	0.120721770007	174367.212121	5.82768788539e-05	1.51600377774	82138.370208	67077.8801945
450000.0	9466.83111932	4082.46296682	0.118834424562	174336.765162	6.38619592498e-05	1.54416653532	85306.9942171	69649.729897
475000.0	9586.52944081	4541.18707476	0.117151186298	174336.691036	6.98778082119e-05	1.57230960727	88491.2038673	72222.3445592
500000.0	9704.11795992	5042.83321626	0.115620096002	174373.500455	7.63472014382e-05	1.60090980588	91742.4170843	74837.5667799
525000.0	9819.88692313	5590.62993209	0.114396939323	174339.827168	8.33288335669e-05	1.62673313222	94577.6157574	77086.4692123
550000.0	9934.06190067	6188.14631753	0.113288393457	174327.462945	9.08264097289e-05	1.65259823674	97416.7674365	79326.3475294
575000.0	10046.7334535	6839.01504293	0.112263031909	174369.686352	9.88516702411e-05	1.67913198252	100381.417717	81661.8438221
600000.0	10158.0244881	7547.07309162	0.111420038655	174364.387126	0.000107477049087	1.70380553228	103060.13296	83744.0836035
625000.0	10268.1145825	8316.48919714	0.110671172744	174373.145203	0.000116709068589	1.72804227314	105695.596456	85781.2111881
650000.0	10377.0898174	9151.42643063	0.110017034598	174388.160545	0.000126582238932	1.75185375178	108277.421704	87764.1301402
675000.0	10485.0692489	10056.8056506	0.109485245973	174367.745034	0.000137159523263	1.77403101022	110619.039876	89537.9093489
700000.0	10592.1722685	11037.2229667	0.10901704639	174360.919855	0.00014844704783	1.79587599674	112927.088312	91275.7656215
725000.0	10698.4384913	12097.7218704	0.108596748997	174377.496027	0.000160472804045	1.81776359978	115255.987783	93022.7823904
750000.0	10803.9263733	13243.6344448	0.108247208968	174385.920865	0.000173295139498	1.83860268052	117454.411619	94656.461018
775000.0	10908.731377	14480.7350136	0.107973380034	174360.650788	0.000186981316398	1.85809576646	119450.923537	96116.6275141
800000.0	11012.9117531	15814.921833	0.107735639299	174361.381475	0.000201521823481	1.87755150316	121461.998037	97582.3997708
825000.0	11116.5009445	17252.1131243	0.107547380763	174379.745651	0.000216959101953	1.89685764562	123465.761317	99035.59557
850000.0	11219.5535888	18798.5604767	0.107415489628	174382.712649	0.000233368111304	1.91519208665	125332.655051	100371.525795
