z	T	P	nabla_ad	S	rho	delta	cp	cv
1125000.0	13264.1850532	88375.7914007	0.110144973159	174381.693061	0.000864418445271	2.17459164408	150021.965524	116309.936149
1150000.0	13362.4361991	94491.35576	0.110450956202	174400.438633	0.000914385483744	2.18278902468	150728.134924	116681.629762
1175000.0	13460.6465833	100959.445944	0.110766180164	174406.732265	0.000966709964204	2.19022987357	151342.254767	116984.392322
1200000.0	13558.8397549	107795.116283	0.111091234326	174380.562555	0.00102158569124	2.19675490593	151825.541172	117188.267239
1225000.0	13657.0323957	115019.329759	0.111424049127	174367.322483	0.00107886730122	2.20333187369	152333.458936	117411.858787
1250000.0	13755.2194432	122644.311593	0.111763720473	174375.032244	0.00113854148529	2.20992623658	152869.257581	117657.831392
1275000.0	13853.3998649	130690.563433	0.112111333729	174392.792127	0.00120076026155	2.2162304159	153385.779997	117890.207915
1300000.0	13951.5810764	139174.362896	0.112467301692	174404.642742	0.00126569903049	2.22194502058	153831.549667	118069.754163
1325000.0	14049.7804757	148114.873581	0.112832380463	174389.798188	0.00133359280594	2.22688785711	154163.628075	118163.114456
1350000.0	14148.0217709	157533.241658	0.113208499231	174367.4064	0.00140442676696	2.23163351539	154466.414859	118234.470417
1375000.0	14246.3072774	167450.171992	0.113591922905	174366.808301	0.00147805687036	2.2363877921	154795.871226	118327.756608
1400000.0	14344.6329001	177884.631256	0.113982098222	174380.330331	0.00155457788626	2.24094543037	155119.405026	118417.625971
1425000.0	14443.0003858	188856.638481	0.114378217519	174396.381774	0.00163417697901	2.24508614224	155399.32276	118475.90041
1450000.0	14541.4177694	200388.081547	0.114779461788	174400.198711	0.00171706869339	2.24865155551	155603.802669	118478.343837
1475000.0	14639.9039741	212504.476669	0.115191297479	174378.558808	0.00180353069537	2.25187670264	155743.208049	118431.705204
1500000.0	14738.4752887	225228.932207	0.115610216663	174363.41971	0.00189333515116	2.25501517873	155882.145687	118385.861341
1525000.0	14837.1282804	238583.258091	0.116034811874	174365.89946	0.00198643371615	2.25800442122	156025.427272	118345.33838
1550000.0	14935.8603992	252589.796171	0.116464400312	174378.650064	0.00208297220731	2.26067086807	156145.948399	118290.012496
1575000.0	15034.6737952	267275.823631	0.116898181602	174392.025538	0.00218316377149	2.2628772937	156218.916859	118201.342903
1600000.0	15133.5767928	282666.876292	0.117341211586	174397.123713	0.00228719526221	2.26476084618	156251.306087	118083.791007
1625000.0	15232.5854028	298786.02068	0.117791727289	174379.015652	0.00239537081585	2.26641860286	156235.051466	117929.741702
1650000.0	15331.7151355	315670.564566	0.118247127196	174362.801529	0.00250753266773	2.26794082309	156206.845972	117767.858481
1675000.0	15430.9618985	333337.160709	0.118706789001	174361.552153	0.00262353014915	2.26924987292	156171.694756	117602.974426
1700000.0	15530.3242551	351821.764651	0.119170301159	174369.844007	0.00274356109774	2.27022932605	156110.564668	117420.90796
1725000.0	15629.8027213	371147.228671	0.119642699999	174383.945121	0.00286770571174	2.27093127289	156027.970574	117224.980735
1750000.0	15729.4037953	391341.059641	0.120123765703	174394.73571	0.00299619786318	2.27138693576	155917.467097	117009.694111
1775000.0	15829.1403286	412442.355009	0.120609546408	174388.452401	0.00312945288008	2.27162857315	155767.202036	116765.49923
1800000.0	15929.0264144	434480.175252	0.12109637733	174365.373683	0.00326761204908	2.27172883738	155583.894005	116497.158289
1825000.0	16029.0643789	457485.748253	0.121586218005	174354.660418	0.00341025039297	2.27160074986	155388.376955	116222.064299
1850000.0	16129.2514864	481490.7393	0.122084614505	174357.729256	0.00355737126654	2.27125306415	155184.326776	115943.143549
1875000.0	16229.58859	506527.158668	0.122592544832	174370.247448	0.00370912654355	2.27068896546	154967.05082	115656.439795
1900000.0	16330.0794771	532628.347378	0.123107678569	174384.716519	0.00386577761954	2.26989279455	154726.444663	115353.99945
1925000.0	16430.7309385	559829.491932	0.123626734111	174391.674796	0.00402766170828	2.26887700414	154454.296757	115029.339778
1950000.0	16531.5528613	588168.20144	0.124145022982	174379.687381	0.00419520831978	2.26770358398	154146.908363	114679.387121
1975000.0	16632.5564969	617683.705978	0.12466658596	174358.164386	0.00436831467252	2.26643238212	153822.75247	114318.360886
2000000.0	16733.7437113	648411.550597	0.125196946931	174351.106086	0.00454647301718	2.26496291444	153494.960151	113957.249989
2025000.0	16835.1135325	680386.154998	0.125735220807	174355.269235	0.00472983919308	2.26327371239	153155.766213	113589.927986
2050000.0	16936.6667334	713642.776837	0.126279884123	174365.885051	0.00491862383806	2.26134790006	152797.55649	113210.55622
2075000.0	17038.4080758	748232.703066	0.126828980941	174377.21882	0.00511314923969	2.25917976835	152413.288477	112813.706363
2100000.0	17140.3415031	784184.082472	0.127385208801	174385.255156	0.00531354258379	2.25681252973	152005.764037	112401.52083
2125000.0	17242.475088	821534.210216	0.127945515971	174382.052842	0.00552016668016	2.25435785294	151579.660052	111976.824893
2150000.0	17344.8214688	860343.969969	0.12850550843	174362.454759	0.00573344242242	2.25192673055	151142.531574	111544.640728
2175000.0	17447.3836254	900645.18984	0.129070134838	174349.864419	0.00595271292993	2.2493338023	150697.499838	111108.595477
2200000.0	17550.1607396	942479.415862	0.129640597463	174346.856002	0.00617797402723	2.24650999107	150238.664921	110664.441598
2225000.0	17653.1550106	985897.868019	0.130221315524	174352.99705	0.00640928836982	2.24341280394	149762.162565	110209.848048
2250000.0	17756.3679417	1030930.17465	0.130811311688	174364.545616	0.00664682014324	2.24009624276	149267.893859	109744.194341
2275000.0	17859.8055935	1077631.2213	0.131407681457	174376.21807	0.00689093001558	2.23662477408	148756.21546	109267.247675
2300000.0	17963.4733305	1126044.91856	0.132006551986	174381.682518	0.00714200737828	2.23308829775	148230.057961	108780.481635
2325000.0	18067.3760354	1176207.0071	0.132604371855	174374.217567	0.0074004286036	2.22957503921	147693.72583	108286.58753
2350000.0	18171.5263552	1228203.38901	0.133203384622	174354.77777	0.00766640013283	2.22609453991	147152.102137	107789.573572
2375000.0	18275.9243319	1282053.2449	0.133811107622	174344.212361	0.00793904261357	2.22243213773	146601.332025	107287.822422
2400000.0	18380.5712009	1337804.39492	0.1344271987	174342.780308	0.0082184394482	2.21856951999	146038.731513	106779.286208
2425000.0	18485.4701598	1395516.80654	0.135050017166	174347.713248	0.00850486281516	2.21451524293	145462.831687	106262.93846
2450000.0	18590.6243061	1455244.42652	0.135680108291	174356.595491	0.00879850008038	2.21025061483	144869.695037	105735.905965
2475000.0	18696.0366943	1517024.38661	0.136319219814	174367.195441	0.00909944258686	2.20577979821	144258.645367	105197.733413
2500000.0	18801.7131981	1580910.20326	0.136963783043	174374.76293	0.00940806691934	2.20120169779	143635.481566	104652.164336
2525000.0	18907.6598863	1646958.12957	0.137609200152	174373.826689	0.00972484760486	2.19664156325	143008.245457	104104.550924
2550000.0	19013.8826298	1715227.75623	0.138249964127	174358.638642	0.0100503170455	2.19223789712	142386.29946	103561.088534
2575000.0	19120.3858946	1785778.94003	0.138894917125	174343.271159	0.0103837984516	2.18776600971	141758.832798	103015.006477
2600000.0	19227.1721864	1858665.14765	0.139550918833	174337.244883	0.0107247898973	2.18306006218	141116.772395	102460.445858
2625000.0	19334.2441333	1933939.36134	0.140216535897	174338.536123	0.0110734934408	2.17816118501	140461.724286	101898.183567
2650000.0	19441.6046619	2011655.65659	0.140889914672	174344.672792	0.0114301542805	2.17311430808	139795.629233	101329.277123
2675000.0	19549.2571181	2091869.49116	0.141569646929	174353.140577	0.0117950362442	2.16795789178	139119.156974	100753.737072
2700000.0	19657.2064938	2174636.90043	0.142259080684	174362.527331	0.0121682235653	2.16263651486	138425.190991	100166.401147
