,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.000056212348,2.1218255755780877,0.3982565338202966,198442.529296875,9.522055366417703e-08,1.0007422766835294,16013.153017571465,9637.220764160156,3.362365687831189e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.0001124246933,2.1218255755780877,0.3982565338202966,198442.529296875,9.522055366417703e-08,1.0007422766835294,16013.152915169725,9637.220764160156,3.362365687831189e-05,-0.0,-12522917063.639336,0.45695366645507135
2,50000.0,3500.0001686370365,2.1218255755780877,0.3982565338202966,198442.529296875,9.522055366417703e-08,1.0007422766835294,16013.15281276799,9637.220764160156,3.362365687831189e-05,-0.0,-9080559875.73914,0.4667115934574599
3,75000.0,3500.00023189361,2.553802338300971,0.3979194325628575,197256.689453125,1.146074277147413e-07,1.0009045610321783,16030.73303253724,9653.053283691406,3.636279543850354e-05,-0.0,-6709903670.365813,0.47648666234953757
4,100000.0,3500.0003204294494,3.4739948570597114,0.39719641700631253,195294.47021484375,1.5590667645781764e-07,1.0012941811445855,16069.054122649148,9686.939239501953,4.1600602161008056e-05,-0.0,-5042079014.597609,0.48627802288484234
5,125000.0,3500.000461741977,4.725871191225395,0.3962146764887533,193332.31201171875,2.120947029116138e-07,1.0017439206734569,16121.572641569099,9733.77914428711,4.7927830266189496e-05,-0.0,-3844160054.141474,0.49608489970462544
6,150000.0,3500.000689034352,6.42913968300688,0.39488104058770307,191369.4580078125,2.8854776901177104e-07,1.0023664033083983,16193.183403075669,9797.76382446289,5.5526482196445475e-05,-0.0,-2964177803.747534,0.5059066990216667
7,175000.0,3500.0010568274556,8.74663162368293,0.39308888488185134,189406.18896484375,3.9258107875639325e-07,1.0032721536895164,16289.965424353917,9883.93783569336,6.459246464300374e-05,-0.0,-2309445051.1967683,0.5157429249547025
8,200000.0,3500.001654740148,11.899950701847635,0.39068533573775865,187442.46826171875,5.341538322767292e-07,1.0043944989944427,16420.43792658722,10000.888061523438,7.540334688771014e-05,-0.0,-1817755362.7639315,0.525593117939744
9,225000.0,3500.0026311013585,16.190813510196623,0.38746471592229687,185477.40478515625,7.268284307748729e-07,1.0059553487770838,16598.93244445202,10160.671997070312,8.839560714996253e-05,-0.0,-1444591911.8865926,0.5354568218889314
10,250000.0,3500.004233318146,22.03006045479376,0.3831906780868824,183510.107421875,9.890954721925027e-07,1.0081403762123424,16840.90710052873,10376.404571533203,0.00010402449595433883,-0.0,-1158031137.2509727,0.5453335676300457
11,275000.0,3500.0068743718507,29.977803252702536,0.37757160377623455,181534.130859375,1.3461796122271608e-06,1.011111144248635,17170.091797420493,10670.093536376953,0.00012282898721582085,-0.0,-936469296.4397113,0.5552228621192278
12,300000.0,3500.011244722666,40.79635177077781,0.37024210701745963,179544.5556640625,1.8324535222546956e-06,1.014989067755693,17615.088387811986,11068.054962158203,0.00014541600186675582,-0.0,-763584503.279903,0.5651241800056931
13,325000.0,3500.018501430071,55.52519462127078,0.36083237668926826,177546.875,2.4948785259937267e-06,1.0204528811325788,18220.46681369094,11607.58285522461,0.00017265646927947838,-0.0,-627237911.0885577,0.5750369563053347
14,350000.0,3500.0306000730866,75.58235992859646,0.34895351484034826,175535.4248046875,3.3976639279842402e-06,1.0277039139420903,19037.247057048542,12335.914611816406,0.00020580947121369062,-0.0,-518785230.5426724,0.5849605802406681
15,375000.0,3500.050888169026,102.90382566510227,0.3343050911437411,173508.10546875,4.6287453869808814e-06,1.0376839670795406,20141.88540445925,13318.855285644531,0.0002468391788629971,-0.0,-431521474.29300886,0.5948943903736045
16,400000.0,3500.0851770329673,140.13593662633207,0.3167589435246296,171459.02099609375,6.308822797507219e-06,1.0509751659080175,21626.258281399445,14638.652038574219,0.0002978730483901705,-0.0,-360925052.84357476,0.6048376710645065
17,425000.0,3500.1436094317464,190.90283504859133,0.29642627277198336,169379.150390625,8.604182255567139e-06,1.0689683081306944,23615.946858192954,16403.829956054688,0.00036200027976851566,-0.0,-303483632.66960365,0.6147896504321697
18,450000.0,3500.2440674825093,260.1738506457993,0.27375561830607026,167259.55810546875,1.1744285544068589e-05,1.093039553562762,26268.984812899427,18751.512145996094,0.00044241726003455277,-0.0,-256441623.14494446,0.6247494999025975
19,475000.0,3500.4184815107924,354.78373688206096,0.24957437384221712,165087.80517578125,1.6048048223638034e-05,1.1252159629763507,29778.968532361054,21845.230102539062,0.0005469095612272387,-0.0,-217713900.40259802,0.6347163344587724
20,500000.0,3500.726311110652,484.1670160435989,0.22496134796252032,162846.09375,2.1960833151979386e-05,1.1678139339774705,34373.489785972015,25874.67041015625,0.0006859530833882798,-0.0,-185673087.5819738,0.6446892151514317
21,525000.0,3501.282394668214,661.4089798496693,0.2011013841906836,160513.75732421875,3.010931948210782e-05,1.223553843246868,40300.493483583334,31038.5498046875,0.0008825804224572973,-0.0,-159044425.14538062,0.6546671554768387
22,550000.0,3502.3132485774795,904.7256827633391,0.1790803536875241,158068.83544921875,4.1380584292483036e-05,1.2952666213239987,47783.49308034265,37501.885986328125,0.0011335016068587417,-0.0,-136807027.11205664,0.6646491329020296
23,575000.0,3504.2221056503718,1239.634185969787,0.15969838458934713,155477.96630859375,5.7039549972159875e-05,1.3852737595390137,56954.26363835306,45335.52551269531,0.0014493748953831572,-0.0,-118157716.77033319,0.6746341066913689
24,600000.0,3507.7626057753255,1702.1498151931046,0.14340756957925682,152716.49169921875,7.889548214734532e-05,1.4944975973182753,67730.82285510126,54409.08203125,0.001869198057906112,-0.0,-102457187.49405146,0.6846210432337986
25,625000.0,3514.3996564894505,2343.047866560275,0.1305188935588211,149811.328125,0.00010950293471978512,1.6196790259345484,79563.6308426347,64194.073486328125,0.0024129931043393674,-0.0,-89171138.08277024,0.6946089546103045
26,650000.0,3526.82920779453,3233.704280555371,0.12104711964522201,146817.9931640625,0.00015234219574722374,1.750509667476864,91255.47043611831,73652.42309570312,0.0030985234687879544,-0.0,-77865493.94320682,0.7045969559609065
27,675000.0,3549.7893396512304,4472.523082975957,0.11504918613400651,143907.03125,0.00021175455344746297,1.8664788745507523,100765.70788432525,81125.79345703125,0.00394757621409122,-0.0,-68201814.55917004,0.7145843485439207
28,700000.0,3591.1978676349418,6188.022349631891,0.11273837303816119,141396.8505859375,0.00029203070539551845,1.9364628021269545,105396.98876468994,84534.16137695312,0.00505037195027337,-0.0,-59918222.00368977,0.724570735301109
29,725000.0,3664.1613775908936,8530.463857986691,0.11504344289480767,139753.94287109375,0.0003948617290916445,1.9265066861089475,102584.31542811143,81961.41967773438,0.006683638042141023,-0.0,-52790819.20580542,0.7345561695050533
30,750000.0,3790.940864997273,11639.8981534758,0.12543429298465805,139444.4091796875,0.0005149289563632919,1.7918770743144044,88739.33412338345,70574.24926757812,0.009567321685840045,-0.0,-46634904.610705465,0.7445413243920931
31,775000.0,4010.5985340979905,15584.005996566713,0.15471018913701873,140567.48046875,0.0006367083642544458,1.5192454020163422,62632.485297889034,49053.98254394531,0.015567800029086885,-170.41945360837138,-41301570.1271602,0.7545276404773771
32,800000.0,4406.734982603309,20289.22030197344,0.2341178671789424,142520.69091796875,0.000735604771762155,1.2059543357487659,33425.6254728806,24468.629455566406,0.03485466277671613,-126897.25189744637,-36670396.82973116,0.76451737016985
33,825000.0,5146.1222273612575,25493.6930787851,0.35371335844960305,144558.154296875,0.0007808955615473678,1.0391158569541565,18821.435689481114,11996.24252319336,0.07682334866992846,-361254.4825428348,-32639514.9119941,0.7745134385221186
34,850000.0,6093.361052959187,30916.20705895563,0.3848489861652505,146225.5615234375,0.0007974402933541569,1.0092915269604739,16700.695045860186,10225.138854980469,0.1397674438701849,-1008651.9641607188,-29118202.367854487,0.7845190716476008
35,875000.0,7392.894172434522,36299.322026277165,0.34807409640073983,148533.80126953125,0.0007702005859755445,1.0187481215069276,18544.46496339387,11934.144592285156,0.6545939250974774,-2469514.7325029867,-26036366.60031585,0.7945374197948114
