,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.0002613092433,4.155670614266396,0.3966619636219062,194165.771484375,1.8650199440362059e-07,1.0015335006860961,16097.433270704101,9712.269592285156,4.5136279365870324e-05,-21964298.704584297,-17193223794.24632,0.4472135954999579
1,25000.0,3500.000639090357,5.65278329880137,0.3954882530398245,192200.2685546875,2.536993670698706e-07,1.0020849463014259,16160.931133024726,9768.89419555664,5.218371803854022e-05,-21964298.704584297,-12522917063.639336,0.4568567677424815
2,50000.0,3500.0012492532687,7.689466956297877,0.3939012651071411,190233.2275390625,3.4512298574540523e-07,1.0028386520477408,16245.469892474615,9844.493103027344,6.060558739301575e-05,-21964298.704584297,-9080559875.73914,0.4665177756866789
3,75000.0,3500.002239592587,10.46032490159779,0.3917801258388008,188265.234375,4.6951698084995996e-07,1.0039328203408682,16361.553772478203,9947.718048095703,7.063469869217432e-05,-21964298.704584297,-6709903670.365813,0.4761958781368182
4,100000.0,3500.0038540053483,14.23043394016424,0.3889283084792095,186294.970703125,6.387966822174462e-07,1.005193115188829,16516.618426816756,10087.354278564453,8.265742392514914e-05,-21964298.704584297,-5042079014.597609,0.48589019490649965
5,125000.0,3500.0064986194443,19.360444255302287,0.38512896569607247,184321.88720703125,8.691797281912272e-07,1.0071569195412307,16730.85362999953,10278.247833251953,9.711660273843847e-05,-21964298.704584297,-3844160054.141474,0.49559991820504473
6,150000.0,3500.0108510313758,26.341389020349013,0.38011523345032616,182345.0439453125,1.1827814283549287e-06,1.0097477661654983,17019.317944940598,10535.562896728516,0.00011451162380836395,-21964298.704584297,-2964177803.747534,0.5053244203656925
7,175000.0,3500.018043490115,35.84224848328082,0.373555172567042,180363.4765625,1.6097416732918646e-06,1.0132286245688022,17411.591684946576,10885.990142822266,0.0001354227704512374,-21964298.704584297,-2309445051.1967683,0.515063170704177
8,200000.0,3500.0299708468174,48.77465106077141,0.3650700463285049,178375.32958984375,2.191209658164439e-06,1.0179367731327853,17943.115382527794,11360.55679321289,0.00016056655810504873,-21964298.704584297,-1817755362.7639315,0.5248156746290741
9,225000.0,3500.0498236806475,66.38256480612812,0.35428024661659013,176377.4169921875,2.983449931548421e-06,1.0243789891426074,18663.005880675428,12002.275085449219,0.00019106225454900048,-21964298.704584297,-1444591911.8865926,0.5345814417790701
10,250000.0,3500.083039120659,90.3622164807363,0.34083628042438113,174365.83251953125,4.063392733399951e-06,1.0331169134085563,19635.619607956753,12868.46923828125,0.0002284373074775459,-21964298.704584297,-1158031137.2509727,0.5443599708261481
11,275000.0,3500.139000546884,123.03049713833003,0.32453043215592675,172337.39013671875,5.536482383661223e-06,1.0448549954486495,20945.205652971643,14033.474731445312,0.00027499473498852716,-21964298.704584297,-936469296.4397113,0.5541507405631455
12,300000.0,3500.2341000099254,167.5569065252,0.3053675338626521,170280.04150390625,7.547715341615913e-06,1.0607063942374142,22701.224733103867,15592.63916015625,0.0003333274020617723,-21964298.704584297,-763584503.279903,0.5639532040367594
