,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.000056347191,2.1217342270283654,0.39825657163545775,198442.78564453125,9.521645971677373e-08,1.000742395896038,16013.152643875726,9637.21923828125,3.362302928892137e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.0001126943794,2.1217342270283654,0.39825657163545775,198442.78564453125,9.521645971677373e-08,1.000742395896038,16013.152541228323,9637.21923828125,3.362302928892137e-05,-0.0,-12522917063.639336,0.4569534307553209
2,50000.0,3500.000169041565,2.1217342270283654,0.39825657163545775,198442.78564453125,9.521645971677373e-08,1.000742395896038,16013.152438580928,9637.21923828125,3.362302928892137e-05,-0.0,-9080559875.73914,0.46671112198963105
3,75000.0,3500.0002325866085,2.563296314161539,0.39791192022226046,197232.763671875,1.1503351049491073e-07,1.0009086152859217,16031.129222268786,9653.404998779297,3.6420572591031345e-05,-0.0,-6709903670.365813,0.4764859549694098
4,100000.0,3500.0003218667234,3.48693942270168,0.39718637429403675,195270.6298828125,1.5648765616660398e-07,1.0012987113630984,16069.584344580084,9687.41226196289,4.166994996431793e-05,-0.0,-5042079014.597609,0.48627707938397985
5,125000.0,3500.00046437802,4.743517687178716,0.39620097816952926,193308.59375,2.128867498951692e-07,1.0017502390252693,16122.329794266578,9734.456634521484,4.8011942520849573e-05,-0.0,-3844160054.141474,0.49608371978895155
6,150000.0,3500.0006936213854,6.453105090482863,0.39486245303463785,191345.9716796875,2.8962349185590597e-07,1.0023751083069776,16194.18968519866,9798.666381835938,5.562686148190027e-05,-0.0,-2964177803.747534,0.5059052823056621
7,175000.0,3500.001064600626,8.779115337962953,0.39306398250476626,189383.02001953125,3.9403941221038963e-07,1.0032858715393302,16291.335843045887,9885.150146484375,6.471150674526365e-05,-0.0,-2309445051.1967683,0.5157412709559615
8,200000.0,3500.0016677288395,11.94422202077185,0.3906517133222883,187419.5068359375,5.361416310911693e-07,1.0044078502804719,16422.240327366362,10002.521514892578,7.554621153153984e-05,-0.0,-1817755362.7639315,0.5255912260741615
9,225000.0,3500.002652645781,16.25116582374061,0.38741962133539054,185454.6630859375,7.295385962002854e-07,1.0059799318994933,16601.50678440387,10162.957763671875,8.856770682351348e-05,-0.0,-1444591911.8865926,0.5354546914673481
10,250000.0,3500.0042689825323,22.112319877945634,0.3831313133527571,183487.6220703125,9.92790738507665e-07,1.00817026223962,16844.270473944216,10379.405212402344,0.00010423183037312371,-0.0,-1158031137.2509727,0.5453311978561314
11,275000.0,3500.006933492587,30.08940385445515,0.37749412469471455,181509.55810546875,1.3511944896293926e-06,1.0111519724360825,17174.6949149245,10674.205017089844,0.00012307765270573034,-0.0,-936469296.4397113,0.5552202520893955
