z	T	P	nabla_ad	S	rho	delta	cp	cv
1025000.0	11294.8532875	19997.0393467	0.107345954364	174367.96875	0.000245945557253	1.92781698704	126580.880925	101249.017334
1050000.0	11397.0386989	21747.82339	0.107274856525	174363.134766	0.000264118483528	1.94506835938	128295.188608	102450.231934
1075000.0	11498.7973925	23627.1269077	0.107225525618	174379.174805	0.00028334613944	1.96215903759	130021.693646	103659.570312
1100000.0	11600.1557075	25642.4612289	0.107214145475	174391.821289	0.000303706912064	1.97854089737	131674.464214	104808.374023
1125000.0	11701.1705727	27802.0101726	0.107248677081	174368.737793	0.000325308661786	1.99362611771	133139.605706	105803.00293
1150000.0	11801.8811873	30114.3106692	0.107292462967	174359.680176	0.000348127372263	2.00840568542	134591.990973	106786.242676
1175000.0	11902.2833977	32587.7726031	0.107346481855	174373.730469	0.000372190839926	2.02323675156	136081.872479	107797.497559
1200000.0	12002.389439	35231.2474829	0.10742565321	174389.770508	0.000397586035206	2.03738498688	137495.065118	108745.568848
1225000.0	12102.2404104	38054.3221784	0.107546410836	174375.793457	0.000424439804192	2.05043578148	138739.999017	109556.005859
1250000.0	12201.8877353	41067.2363615	0.107691723076	174357.971191	0.00045276453875	2.06323766708	139940.713394	110326.757812
1275000.0	12301.3364427	44279.9631613	0.107845724631	174365.771484	0.000482543271119	2.07610344887	141175.398588	111122.424316
1300000.0	12400.5888968	47702.7939816	0.108012693997	174384.362793	0.000513860129558	2.08847165108	142370.349261	111886.38916
1325000.0	12499.6621159	51346.7373476	0.10819830936	174388.952637	0.000546843125449	2.09975504875	143430.750256	112544.555664
1350000.0	12598.5939076	55223.8052392	0.108409529836	174361.486816	0.000581621861784	2.11012005806	144343.81822	113084.082031
1375000.0	12697.4063656	59346.0949973	0.10863059025	174355.102539	0.000618104081695	2.12081718445	145308.779551	113661.096191
1400000.0	12796.0957432	63725.4429987	0.108860961873	174369.238281	0.000656340546357	2.13152647018	146294.591961	114252.929688
1425000.0	12894.6671175	68374.3112341	0.10910421991	174387.353516	0.000696444942605	2.14170980453	147226.56877	114802.526855
1450000.0	12993.1401322	73306.1239405	0.109364454487	174384.460449	0.000738585981708	2.15081715584	148016.483401	115241.931152
1475000.0	13091.5498276	78535.4840906	0.109643712517	174355.981445	0.000782870301919	2.15912151337	148683.522018	115584.179688
1500000.0	13189.9084851	84076.5996022	0.109933239662	174352.416992	0.000829156988402	2.16768980026	149403.197232	115965.466309
1525000.0	13288.2131905	89943.5098782	0.110231970757	174367.089844	0.0008775268725	2.17620372772	150137.260918	116357.824707
1550000.0	13386.4676636	96151.0245233	0.110539938711	174384.887695	0.000928115071019	2.184258461	150827.68268	116717.834473
1575000.0	13484.685858	102715.083204	0.110857320107	174383.630371	0.000981118887466	2.19145512581	151408.136679	116995.251465
1600000.0	13582.8936104	109653.054275	0.111184427547	174354.992676	0.00103668230622	2.19791531563	151882.707733	117192.651367
1625000.0	13681.0997475	116981.868652	0.111518464035	174348.144531	0.00109460620479	2.20453691483	152403.522096	117426.501465
1650000.0	13779.2988382	124717.988202	0.111859775878	174359.82666	0.00115496686703	2.21109700203	152940.471912	117673.718262
1675000.0	13877.4918926	132878.700009	0.112209162838	174377.856445	0.001217907311	2.21729135513	153445.451888	117897.619629
1700000.0	13975.6889663	141482.480084	0.112567022711	174384.814453	0.00128363308249	2.22282481194	153865.658329	118057.836914
1725000.0	14073.910392	150549.35545	0.11293499304	174361.828613	0.00135237212362	2.22763848305	154174.356921	118133.59375
1750000.0	14172.1768213	160099.979076	0.11331271123	174345.715332	0.00142398312164	2.23241448402	154488.176278	118213.769531
1775000.0	14270.4853498	170153.637194	0.113697525781	174349.975586	0.00149838660946	2.2371532917	154821.527184	118310.107422
1800000.0	14368.8333346	180730.120955	0.114089046766	174365.478516	0.00157573811066	2.24163627625	155138.891178	118395.703125
1825000.0	14467.2244845	191850.418778	0.114486248398	174379.785156	0.00165622941495	2.24564671516	155402.860665	118442.358398
1850000.0	14565.6687581	203536.935998	0.114889473052	174377.783203	0.00174008278009	2.24910187721	155588.698217	118431.103516
1875000.0	14664.1878924	215813.895421	0.115303256374	174352.832031	0.00182751159628	2.25229287148	155720.920291	118379.077148
1900000.0	14762.7918024	228704.980981	0.115723377055	174343.029785	0.00191821663975	2.25542378426	155865.060661	118337.609863
1925000.0	14861.476092	242232.85724	0.116149156387	174349.169922	0.00201225611818	2.25835585594	156006.66604	118296.496582
1950000.0	14960.2394171	256421.115002	0.11657960982	174363.232422	0.00210979487747	2.26092600822	156118.212146	118234.985352
1975000.0	15059.0850205	271294.648779	0.117014976273	174375.317383	0.0022110352802	2.26303577423	156180.258742	118138.696289
2000000.0	15158.0234647	286879.688251	0.117460119383	174375.671387	0.00231618628277	2.26486301422	156201.799224	118013.110352
2025000.0	15257.0730298	303204.430116	0.117911738244	174353.295898	0.00242553778662	2.26648950577	156177.778429	117853.283691
2050000.0	15356.242968	320296.93912	0.11836803254	174341.625977	0.00253875691669	2.26798057556	156151.075343	117693.054199
2075000.0	15455.5293587	338183.823498	0.118828558853	174343.652344	0.00265587618742	2.26922559738	156112.279748	117526.000977
2100000.0	15554.9303456	356892.613628	0.11929346979	174353.881836	0.00277704793916	2.27013158798	156045.642647	117340.41748
2125000.0	15654.4486444	376451.698355	0.11976813382	174368.237305	0.00290238858724	2.27077531815	155957.980357	117141.235352
2150000.0	15754.0924151	396890.82563	0.120250658292	174375.866699	0.00303218712361	2.27117943764	155838.823445	116919.689941
2175000.0	15853.8747473	418242.161889	0.120736516516	174362.231445	0.00316684918289	2.27139353752	155678.088272	116667.687988
2200000.0	15953.8089315	440539.686307	0.121223752075	174341.625977	0.00330628108713	2.27145433426	155492.854942	116398.376465
2225000.0	16053.8938404	463814.975818	0.121714950202	174334.680176	0.00345019088854	2.27127242088	155295.570783	116122.631836
2250000.0	16154.1275913	488099.11393	0.122215757359	174340.979004	0.00359861087418	2.27087903023	155090.132924	115843.261719
2275000.0	16254.5117787	513423.901118	0.122725615011	174354.907227	0.00375173044631	2.27026391029	154868.77986	115553.979492
2300000.0	16355.0509754	539822.804277	0.123242004131	174368.371582	0.00390983313991	2.26941680908	154621.453593	115246.838379
2325000.0	16455.752829	567331.495953	0.123761018919	174371.435547	0.00407327615903	2.26836252213	154341.286177	114916.430664
2350000.0	16556.6281064	595988.473641	0.124278752505	174352.91748	0.00424248719355	2.26717972755	154027.14223	114561.621094
2375000.0	16657.6865461	625832.885982	0.124802395651	174335.266113	0.00441703741672	2.26586914062	153703.492535	114201.611328
2400000.0	16758.9280281	656900.240902	0.125334747117	174331.750488	0.00459667262476	2.26435208321	153374.597837	113840.29541
2425000.0	16860.3521785	689226.390411	0.125874726931	174338.305664	0.00478157926409	2.26260995865	153032.209864	113471.130371
2450000.0	16961.9605482	722848.642118	0.126420461824	174349.731445	0.00497199516758	2.26062846184	152668.572274	113088.195801
2475000.0	17063.7566912	757806.08561	0.126970964808	174360.620117	0.00516817044627	2.25840997696	152278.636883	112687.597656
2500000.0	17165.74712	794139.254918	0.12752847002	174366.491699	0.00537031110071	2.25601696968	151866.7756	112272.583008
2525000.0	17267.9412906	831890.887283	0.128088537762	174358.300781	0.00557885505259	2.25357437134	151437.790081	111845.910645
2550000.0	17370.3491641	871106.464474	0.128648992709	174338.317871	0.00579392144573	2.25112986565	150999.586234	111413.28125
2575000.0	17472.9729017	911828.719926	0.129214883317	174328.637695	0.00601491865382	2.24848866463	150552.593509	110976.281738
2600000.0	17575.8117433	954099.147096	0.129787428922	174328.271484	0.00624194126431	2.24560046196	150090.239993	110530.187988
2625000.0	17678.8673354	997959.547431	0.130370630453	174336.376953	0.0064750306592	2.24244761467	149609.992545	110073.364258
2650000.0	17782.1433236	1043452.84287	0.130962368128	174348.571777	0.00671444877298	2.23909044266	149111.89618	109605.322266
2675000.0	17885.6447513	1090624.07301	0.131559625753	174359.265137	0.00696053666616	2.23560166359	148596.887762	109126.135254
2700000.0	17989.3776381	1139520.89024	0.132158100046	174361.767578	0.00721371634427	2.23207306862	148068.484254	108637.792969
2725000.0	18093.3491645	1190194.03472	0.132755312471	174349.584961	0.0074744025369	2.22858834267	147531.290173	108143.334961
2750000.0	18197.5671647	1242695.52862	0.133355869287	174331.164551	0.00774236013967	2.22508335114	146988.850763	107646.154785
2775000.0	18302.0340265	1297072.98449	0.133965812256	174323.461914	0.00801697569841	2.2213742733	146435.933345	107143.273926
2800000.0	18406.7509196	1353373.24704	0.134583744104	174324.194336	0.00829843611427	2.21746444702	145870.646591	106633.26416
2825000.0	18511.7196603	1411644.64982	0.135207830061	174330.371094	0.00858698058437	2.21336698532	145291.59757	106115.063477
2850000.0	18616.9432816	1471936.91474	0.13584027378	174340.136719	0.00888273007149	2.20904827118	144694.142012	105585.375977
2875000.0	18722.4269077	1534300.59848	0.136480944554	174350.415039	0.00918589648791	2.20454549789	144080.029455	105045.373535
2900000.0	18828.1764184	1598788.58003	0.137125974655	174356.201172	0.00949688001128	2.19996714592	143455.7471	104499.243164
2925000.0	18934.1976762	1665456.77083	0.137770387636	174351.794434	0.00981617449725	2.19544458389	142829.844999	103952.67334
2950000.0	19040.4962923	1734364.71051	0.138410023671	174333.703613	0.0101441928564	2.19107890129	142209.795332	103410.705566
2975000.0	19147.0759048	1805569.86936	0.139057839691	174321.154785	0.0104799100882	2.18654608727	141579.064017	102862.854004
3000000.0	19253.9388455	1879124.61439	0.139716337099	174317.443848	0.0108231906779	2.18179059029	140934.11176	102306.646729
3025000.0	19361.0878466	1955082.23529	0.140384042015	174320.410156	0.0111742465378	2.17685294151	140276.574714	101742.938232
3050000.0	19468.5260207	2033497.65516	0.141058899559	174327.46582	0.0115333441499	2.1717813015	139608.515421	101172.833252
3075000.0	19576.257058	2114427.72128	0.141740698341	174336.376953	0.0119007090689	2.16659069061	138928.554162	100594.9646
3100000.0	19684.2866788	2197930.13953	0.142431963953	174345.471191	0.0122764586195	2.16124486923	138231.820489	100005.828857
3125000.0	19792.6210547	2284064.57394	0.143127787744	174350.793457	0.0126610184452	2.15587353706	137529.457019	99413.3483887
3150000.0	19901.2650431	2372894.08649	0.14382177323	174347.65625	0.013054925148	2.15061736107	136833.859687	98826.373291
3175000.0	20010.2217023	2464485.6853	0.144507444144	174331.90918	0.0134587153298	2.14560317993	136157.060025	98253.6743164
3200000.0	20119.4928049	2558905.55214	0.145198598523	174318.212891	0.0138713639899	2.14046788216	135472.953193	97677.3986816
3225000.0	20229.0823066	2656212.76494	0.14590329824	174312.329102	0.0142924018292	2.13502788544	134766.891054	97087.4633789
3250000.0	20338.9946804	2756466.16909	0.146620294106	174312.939453	0.0147219816427	2.1293361187	134042.470255	96486.1816406
3275000.0	20449.2344784	2859725.85981	0.147348015776	174318.505859	0.0151602916958	2.12345004082	133303.942892	95876.3916016
3300000.0	20559.8061119	2966053.4228	0.148084503024	174327.185059	0.0156075730047	2.11743736267	132556.013169	95261.1083984
3325000.0	20670.7138097	3075512.28732	0.148827301734	174336.755371	0.0160641120601	2.11136984825	131804.06663	94643.9880371
3350000.0	20781.9613219	3188168.05428	0.149573343897	174344.702148	0.0165302590176	2.10532665253	131053.989772	94028.9367676
3375000.0	20893.551791	3304089.03901	0.150318951258	174348.071289	0.0170064304257	2.09939193726	130312.533453	93420.6665039
3400000.0	21005.4873633	3423346.64775	0.151059711153	174343.554688	0.0174931192305	2.09365487099	129587.114641	92824.3530273
3425000.0	21117.7689071	3546015.81224	0.151791963527	174329.187012	0.0179907074198	2.08818101883	128883.566515	92244.1040039
3450000.0	21230.3961838	3672169.585	0.152524438324	174316.97998	0.0184982473002	2.08275270462	128188.495507	91671.0510254
3475000.0	21343.3695354	3801875.79595	0.153264229355	174309.936523	0.0190154096344	2.07719993591	127486.307772	91094.2687988
3500000.0	21456.6945471	3935200.41244	0.154020359766	174308.520508	0.0195419561351	2.0713365078	126758.00244	90500.402832
3525000.0	21570.3784041	4072209.35152	0.154790876961	174311.621094	0.0200780450541	2.06521701813	126008.744325	89893.0908203
3550000.0	21684.4275174	4212969.88289	0.155573250699	174317.956543	0.0206238782994	2.05891156197	125244.630178	89276.5136719
3575000.0	21798.8473121	4357550.74328	0.156364646048	174325.952148	0.0211797050724	2.05248975754	124471.924351	88655.0537109
3600000.0	21913.6422446	4506022.7192	0.157161778568	174333.80127	0.0217458473344	2.04602885246	123697.1955	88033.1848145
3625000.0	22028.8155551	4658458.87476	0.157960869217	174339.465332	0.0223226561502	2.03960990906	122927.591942	87415.8996582
3650000.0	22144.3690723	4814935.02069	0.158757779003	174340.625	0.0229105498875	2.03331828117	122170.318588	86808.1298828
3675000.0	22260.3030829	4975530.21691	0.159547644838	174334.655762	0.0235100560531	2.02724313736	121433.096571	86215.2526855
3700000.0	22376.6161093	5140326.50679	0.160329019926	174322.351074	0.0241212546825	2.02140498161	120718.686344	85639.2211914
3725000.0	22493.3062993	5309401.56977	0.161110015953	174313.562012	0.0247431235039	2.01562428474	120015.142941	85071.9604492
3750000.0	22610.3731956	5482829.38119	0.161897733133	174308.850098	0.0253755060839	2.00975894928	119307.647988	84502.9418945
3775000.0	22727.8225675	5660682.32388	0.162700334997	174308.227539	0.026018195058	2.00364971161	118580.017191	83920.7946777
