,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.0000601901097,2.1197588605615842,0.3982580842477935,198448.53515625,9.512780840825741e-08,1.0007417400946046,16013.073928942435,9637.147521972656,3.361001867768399e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.000120380215,2.1197588605615842,0.3982580842477935,198448.53515625,9.512780840825741e-08,1.0007417400946046,16013.07381929453,9637.147521972656,3.361001867768399e-05,-0.0,-12522917063.639336,0.4569454002227161
2,50000.0,3500.0001805703178,2.1197588605615842,0.3982580842477935,198448.53515625,9.512780840825741e-08,1.0007417400946046,16013.073709646633,9637.147521972656,3.361001867768399e-05,-0.0,-9080559875.73914,0.46669505860214267
3,75000.0,3500.000252453763,2.8621003484952046,0.3976769159498603,196538.00048828125,1.2844397767608484e-07,1.0010455697944067,16043.589539158313,9664.372253417969,3.819539313119521e-05,-0.0,-6709903670.365813,0.47646185381873024
4,100000.0,3500.0003665197896,3.8934248174132176,0.39686760362518053,194582.80029296875,1.747316458189374e-07,1.0014399176406452,16086.452862430964,9702.474212646484,4.379998971862801e-05,-0.0,-5042079014.597609,0.48624493331959046
5,125000.0,3500.000549095067,5.296522698621814,0.3957671646139974,192626.85546875,2.3770824197910656e-07,1.0019549299673685,16146.003496948053,9755.55419921875,5.0585242703716924e-05,-0.0,-3844160054.141474,0.4960435187226723
6,150000.0,3500.000843521042,7.205470595342735,0.3942756898431453,190659.08203125,3.233963929982764e-07,1.002649149299316,16225.19225488307,9826.445007324219,5.870090673622874e-05,-0.0,-2964177803.747534,0.5058570130079589
7,175000.0,3500.0013208174196,9.802769393463963,0.39228227012653133,188690.087890625,4.3999542898021105e-07,1.0037010391252963,16334.368832220076,9923.331451416016,6.836890998364633e-05,-0.0,-2309445051.1967683,0.5156849168673123
8,200000.0,3500.0020980089553,13.336925273396455,0.3895993974929972,186718.603515625,5.98675609086996e-07,1.0048640714300194,16479.403276382065,10054.070281982422,7.993691667583167e-05,-0.0,-1817755362.7639315,0.5255267671364772
9,225000.0,3500.0033694987246,18.14634344719132,0.38601906063354813,184744.10400390625,8.146506802475528e-07,1.0067051494517383,16680.582795090613,10233.407592773438,9.384891920597879e-05,-0.0,-1444591911.8865926,0.5353821039853407
