,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.00006609141,2.1144125848755735,0.39826220617472474,198464.111328125,9.48878614570603e-08,1.0007401304172143,16012.860056907892,9636.949920654297,3.3574666339211877e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.0001321828167,2.1144125848755735,0.39826220617472474,198464.111328125,9.48878614570603e-08,1.0007401304172143,16012.859936509933,9636.949920654297,3.3574666339211877e-05,-0.0,-12522917063.639336,0.45692264963292833
2,50000.0,3500.000209901928,2.760463957403921,0.39775686697277374,196761.6455078125,1.238824737237465e-07,1.0009974526895487,16039.332121191132,9660.639190673828,3.760124514889037e-05,-0.0,-9080559875.73914,0.46664955084461235
3,75000.0,3500.0003287247855,3.755056074086942,0.39697600788064247,194803.74755859375,1.6852130801936482e-07,1.0013934287509627,16080.717034190278,9697.348022460938,4.308375855217523e-05,-0.0,-6709903670.365813,0.47639357635706275
4,100000.0,3500.000518738061,5.108127031752219,0.395914877485781,192846.3623046875,2.2925208953417098e-07,1.0018851305499403,16137.917196366543,9748.347473144531,4.972171246147258e-05,-0.0,-5042079014.597609,0.48615386599623056
5,125000.0,3500.000824930211,6.948963401882578,0.3944751894594539,190888.90380859375,3.118819091874059e-07,1.002553327964223,16214.573620116511,9816.952514648438,5.766903676394219e-05,-0.0,-3844160054.141474,0.4959296330926235
6,150000.0,3500.0013210260327,9.453691757677701,0.3925488142216286,188928.125,4.243236317869048e-07,1.0035728268651873,16319.876051921201,9910.371398925781,6.714135900947036e-05,-0.0,-2964177803.747534,0.5057202717731522
7,175000.0,3500.0021284031222,12.861739356985453,0.3899577083677334,186956.93359375,5.773390099328424e-07,1.0046940508258155,16459.685999629946,10036.399841308594,7.846047556093103e-05,-0.0,-2309445051.1967683,0.5155252733578454
8,200000.0,3500.0034484556354,17.499172831435196,0.3864954243143106,184982.7392578125,7.855852635074712e-07,1.0064631878548596,16653.69328274158,10209.418487548828,9.207163845037364e-05,-0.0,-1817755362.7639315,0.5253441648534256
9,225000.0,3500.0056172199515,23.810030254026277,0.38191309111199495,183004.2724609375,1.0690563989612656e-06,1.0088020254546317,16914.504184794954,10442.054748535156,0.00010844556643915733,-0.0,-1444591911.8865926,0.5351764762357042
10,250000.0,3500.009195903175,32.3993486607672,0.3759002826934485,181021.05712890625,1.455002340833289e-06,1.0119933155395215,17269.968934893746,10759.33837890625,0.00012814271184630738,-0.0,-1158031137.2509727,0.5450217240700193
11,275000.0,3500.0151231625314,44.09174224496684,0.36808103444160345,179030.5908203125,1.9806221107643296e-06,1.0161977726779796,17750.662050768733,11189.039611816406,0.00015180117365007806,-0.0,-936469296.4397113,0.5548794009808482
12,300000.0,3500.0249740023482,60.0106652065075,0.35808695367097043,177031.55517578125,2.696696643766927e-06,1.0220843428076187,18403.74680536131,11771.031951904297,0.00018040040444574872,-0.0,-763584503.279903,0.5647489675748466
13,325000.0,3500.0414170872623,81.6893019939458,0.34553646043408226,175018.4326171875,3.672697257428581e-06,1.0299370045224032,19284.936902823298,12556.433868408203,0.00021524174870691523,-0.0,-627237911.0885577,0.5746298456111265
14,350000.0,3500.069034376427,111.22138256822532,0.3301644877704728,172988.97705078125,5.0038106991223685e-06,1.0406663451239822,20475.32169736164,13615.522766113281,0.0002586607040802966,-0.0,-518785230.5426724,0.5845214125264657
15,375000.0,3500.1158303737507,151.46975144756465,0.3118994242623061,170936.4501953125,6.820779052674197e-06,1.0550113267690944,22073.285803741044,15035.566711425781,0.00031276732548993105,-0.0,-431521474.29300886,0.5944229975101092
16,400000.0,3500.1957639781745,206.35549895220828,0.2909297333538555,168851.79443359375,9.303783521374953e-06,1.074361838809674,24212.663041883854,16932.608032226562,0.0003804760046030543,-0.0,-360925052.84357476,0.6043338792559196
17,425000.0,3500.3334440470726,281.259675271283,0.267805389189632,166725.9033203125,1.2701765861322656e-05,1.1002617584360712,27059.427859886262,19449.331665039062,0.0004659711633814382,-0.0,-303483632.66960365,0.6142532856970285
18,450000.0,3500.573312099564,383.5893653858379,0.24343179360244468,164545.1416015625,1.736125199158778e-05,1.1347625725970123,30814.716418485787,22755.714416503906,0.0005781409089885359,-0.0,-256441623.14494446,0.6241803959895545
19,475000.0,3500.9990053075885,523.5768036487581,0.21894283020465444,162289.95361328125,2.376658692071487e-05,1.1803451317489475,35710.79565833514,27042.78564453125,0.0007287845118858265,-0.0,-217713900.40259802,0.6341143441208941
20,500000.0,3501.7736979178303,715.417687686519,0.19548593516787827,159923.5107421875,3.2599587029835675e-05,1.2396047221713973,41988.490308094435,32501.94091796875,0.0009444131580573029,-0.0,-185673087.5819738,0.6440542260691338
21,525000.0,3503.2163446150994,978.9025277404419,0.174112703942848,157436.21826171875,4.482604509803423e-05,1.3153464670600876,49845.61564676472,39271.19140625,0.0012037627371111442,-0.0,-159044425.14538062,0.6539991126458947
22,550000.0,3505.871134271119,1341.7786590400742,0.15555689895283006,154805.43212890625,6.18213604752782e-05,1.4092855146468009,59347.99035817696,47362.31689453125,0.0015423525835498702,-0.0,-136807027.11205664,0.6639480700498769
23,575000.0,3510.8017173620906,1843.0849569422364,0.14026796798082275,152025.69580078125,8.553409713840665e-05,1.521061385964034,70265.4562582707,56517.718505859375,0.0019887346098925447,-0.0,-118157716.77033319,0.6739001904165719
24,600000.0,3520.0133850032785,2537.7203998316845,0.12857336154262627,149147.8759765625,0.0001186700089306214,1.6446534818885858,81778.78400909947,65991.29638671875,0.0025593809747818503,-0.0,-102457187.49405146,0.6838546350135503
