,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.000067354226,2.1137622461556504,0.39826265997005933,198466.015625,9.485869034708827e-08,1.0007398919041353,16012.833949884698,9636.927032470703,3.357033514819297e-05,-29498870.90739177,-17193223794.24632,0.4472135954999579
1,25000.0,3500.000141255633,2.224127233012309,0.3981775914223156,198157.18994140625,9.981174220463629e-08,1.0007738757477307,16017.218644632969,9640.962219238281,3.429263320541412e-05,-29498870.90739177,-12522917063.639336,0.4569164235501956
2,50000.0,3500.0002342751513,3.0254013145573473,0.3975483452088423,196194.15283203125,1.3577312885093562e-07,1.0011218293299324,16050.440328755325,9670.379638671875,3.9130936067858296e-05,-29498870.90739177,-9080559875.73914,0.46663709711967727
3,75000.0,3500.0003823019974,4.115478269497677,0.39669355204059636,194229.4189453125,1.8469800688869498e-07,1.0015185982232608,16095.748438659906,9710.769653320312,4.4933721934935144e-05,-29498870.90739177,-6709903670.365813,0.47637489174947795
4,100000.0,3500.0006196399077,5.598463213084694,0.39553069506887994,192263.4521484375,2.5126109526318885e-07,1.002065035073168,16158.666114876876,9766.8701171875,5.19428038217792e-05,-29498870.90739177,-5042079014.597609,0.48612894523127914
5,125000.0,3500.001002836842,7.616055364398756,0.393957834914326,190295.91064453125,3.418275662525616e-07,1.0028097903724575,16242.391753982773,9841.754150390625,6.032012946866118e-05,-29498870.90739177,-3844160054.141474,0.495898468708497
6,150000.0,3500.0016246359187,10.361157798190721,0.39185552659360784,188327.34375,4.6506476447660816e-07,1.0038986537240577,16357.461204457106,9944.039916992188,7.029683127591467e-05,-29498870.90739177,-2964177803.747534,0.5056828539934836
7,175000.0,3500.0026380385416,14.096520058614711,0.38902859347696234,186356.4208984375,6.327837143160764e-07,1.0051431319129298,16511.0191672984,10082.350158691406,8.225382939332622e-05,-29498870.90739177,-2309445051.1967683,0.5154815899857805
8,200000.0,3500.004297680856,19.179453783657102,0.38526112822442216,184382.71484375,8.610511192941317e-07,1.0070896881448383,16723.39248810642,10271.59652709961,9.66343969056041e-05,-29498870.90739177,-1817755362.7639315,0.5252942011954208
9,225000.0,3500.007028419078,26.09676982154729,0.3802875541648352,182405.18798828125,1.171791996767979e-06,1.0096561488721392,17009.186595115658,10526.524353027344,0.00011393491625819145,-29498870.90739177,-1444591911.8865926,0.5351202150667798
10,250000.0,3500.01154012399,35.5116200644235,0.37377751352060423,180422.94921875,1.5948833365087012e-06,1.0131119288373371,17398.07131292869,10873.887634277344,0.00013473490594224723,-29498870.90739177,-1158031137.2509727,0.544959145658087
11,275000.0,3500.019020851747,48.32795672736443,0.3653523992696966,178433.94775390625,2.17112616773818e-06,1.0177713195686917,17924.886727224228,11344.316864013672,0.0001597415072828374,-29498870.90739177,-936469296.4397113,0.5548104831927247
12,300000.0,3500.0314698577054,65.77890647324327,0.3546344334039056,176435.3759765625,2.9562940984106945e-06,1.0241650229723223,18638.733656813703,11980.622100830078,0.00019006047128597748,-29498870.90739177,-763584503.279903,0.5646736860949461
13,325000.0,3500.05229051433,89.54595644715093,0.34126223703395125,174423.03466796875,4.026647903998537e-06,1.0328212713441953,19603.073144023005,12839.51416015625,0.00022719627418773863,-29498870.90739177,-627237911.0885577,0.5745481743170376
14,350000.0,3500.087350501051,121.92672865444746,0.3250318033819456,172393.798828125,5.486757714834312e-06,1.044475740554056,20902.647280806614,13995.632934570312,0.00027346203379351863,-29498870.90739177,-518785230.5426724,0.5844333240762309
15,375000.0,3500.1469036393105,166.06418674202507,0.30592991284619947,170339.7705078125,7.4804171745768144e-06,1.0602035661743832,22646.026456291675,15543.714904785156,0.00033139552646038907,-29498870.90739177,-431521474.29300886,0.5943284642202258
16,400000.0,3500.2489317750387,226.26549962650964,0.28424824499257173,168238.90380859375,1.020590723044279e-05,1.0812749977339122,24976.516982856254,17608.978271484375,0.00040379206445267224,-29498870.90739177,-360925052.84357476,0.6042328743770974
17,425000.0,3500.4252330883382,308.44575789697205,0.2606498896699395,166089.84375,1.393757642631499e-05,1.1095211085088752,28069.635193385875,20340.098571777344,0.0004962120047382216,-29498870.90739177,-303483632.66960365,0.6141457852349554
18,450000.0,3500.7340258376366,420.75472638690013,0.2361188344884153,163878.01513671875,1.905799429380295e-05,1.1469998357102804,32136.775274233558,23916.036987304688,0.0006181224458452887,-29498870.90739177,-256441623.14494446,0.6240663812741556
19,475000.0,3501.285899053889,574.4617189156119,0.21182163910794505,161584.08203125,2.6102544126160865e-05,1.1963391966153307,37414.75016291455,28528.765869140625,0.0007845810657297255,-29498870.90739177,-217713900.40259802,0.6339938054080404
20,500000.0,3502.2977716977016,785.2202475855801,0.18891307457571055,159187.158203125,3.582602303708882e-05,1.2601010333551594,44132.36425742325,34355.97229003906,0.0010153078811669135,-29498870.90739177,-185673087.5819738,0.6439271675714889
21,525000.0,3504.179935603175,1074.8890216702841,0.16836231706275373,156665.19775390625,4.929872687853276e-05,1.3408567063939132,52451.06688595375,41500.06103515625,0.0012940732542445661,-29498870.90739177,-159044425.14538062,0.6538655595546929
22,550000.0,3507.647300384278,1474.122076781497,0.150828540301313,154001.08642578125,6.804091157164294e-05,1.4396677776072722,62349.89005949811,49893.88427734375,0.001661667856933769,-29498870.90739177,-136807027.11205664,0.6638080783558744
