,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.0000556848577,2.1222790465939956,0.3982560800389226,198441.2109375,9.52409123788911e-08,1.0007425747590626,16013.173420154104,9637.238311767578,3.3626647318054695e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.000111369713,2.1222790465939956,0.3982560800389226,198441.2109375,9.52409123788911e-08,1.0007425747590626,16013.173318713241,9637.238311767578,3.3626647318054695e-05,-0.0,-12522917063.639336,0.45695521982909154
2,50000.0,3500.0001670545657,2.1222790465939956,0.3982560800389226,198441.2109375,9.52409123788911e-08,1.0007425747590626,16013.173217272388,9637.238311767578,3.3626647318054695e-05,-0.0,-9080559875.73914,0.46671470065171267
3,75000.0,3500.000229075441,2.507522986552118,0.3979556392270808,197374.96337890625,1.1253039472469695e-07,1.0008849457295677,16028.820813606406,9651.353454589844,3.607950024680563e-05,-0.0,-6709903670.365813,0.4764913243107612
4,100000.0,3500.000314358467,3.411050143832325,0.3972458480920369,195412.0849609375,1.5308163070493208e-07,1.0012710513028544,16066.443687120971,9684.613800048828,4.126202311673216e-05,-0.0,-5042079014.597609,0.4862842410181846
5,125000.0,3500.0004504200815,4.6402543688941,0.3962820590585648,193449.15771484375,2.0825191571205437e-07,1.0017120300993014,16117.935280255671,9730.542755126953,4.751792540852845e-05,-0.0,-3844160054.141474,0.49609267599243084
6,150000.0,3500.000669171269,6.312587951734666,0.3949721448992583,191485.53466796875,2.833160372972543e-07,1.002324310562132,16188.376174065263,9793.457794189453,5.5036027319256076e-05,-0.0,-2964177803.747534,0.5059160360648548
7,175000.0,3500.001023038113,8.588079037646807,0.39321012642373654,189521.2158203125,3.854631613897652e-07,1.003205414633114,16283.261557100348,9878.006744384766,6.400854217130209e-05,-0.0,-2309445051.1967683,0.5157538260125492
8,200000.0,3500.001598163315,11.68425292451557,0.3908493097173341,187556.3720703125,5.24469134788319e-07,1.004329287204033,16411.66955045004,9992.939758300781,7.470426119673974e-05,-0.0,-1817755362.7639315,0.525605586967439
9,225000.0,3500.0025370349363,15.897344114709368,0.38768303616818717,185589.990234375,7.136496948945137e-07,1.0058378671026478,16586.57545024353,10149.69253540039,8.755501116897584e-05,-0.0,-1444591911.8865926,0.5354708635708261
10,250000.0,3500.00407730548,21.63072341787358,0.38347908261336405,183621.337890625,9.711567106052144e-07,1.0079938696312685,16824.482774669123,10361.759185791016,0.00010301338939264811,-0.0,-1158031137.2509727,0.5453491874064551
11,275000.0,3500.0066156253083,29.433919112361878,0.3779493955771051,181649.89013671875,1.3217391625630626e-06,1.010908830199132,17147.577999238874,10649.996948242188,0.00012161166727400371,-0.0,-936469296.4397113,0.5552400662039252
12,300000.0,3500.0108150877936,40.05607072767584,0.370732171253828,179666.015625,1.7991717005116925e-06,1.014718927317179,17584.679649745427,11040.911102294922,0.0001439534900445988,-0.0,-763584503.279903,0.5651429753895145
13,325000.0,3500.0177865994333,54.51737965957071,0.36145678069281606,177668.9208984375,2.449537905846455e-06,1.0200843589747415,18179.22875805742,11570.81298828125,0.0001708866813225219,-0.0,-627237911.0885577,0.5750573507426326
14,350000.0,3500.0294064828013,74.20993895377842,0.3497351744379961,175658.154296875,3.335863585363086e-06,1.0272033916115313,18981.413369297166,12286.17172241211,0.0002036502085121585,-0.0,-518785230.5426724,0.5849825822095763
15,375000.0,3500.048884543377,101.03425928513177,0.33525680376509104,173631.6162109375,4.544458143129759e-06,1.0370102708191586,20066.700579557935,13251.954650878906,0.0002441409974912961,-0.0,-431521474.29300886,0.5949180090009059
16,400000.0,3500.0817850882645,137.5879615052314,0.3178820796014833,171583.67919921875,6.193758395056648e-06,1.05006593728281,21525.608566332467,14549.27978515625,0.0002944616296698512,-0.0,-360925052.84357476,0.6048629160018572
17,425000.0,3500.1378206994304,187.42695261963905,0.29770211774081623,169505.322265625,8.446866317513013e-06,1.0677493031796461,23481.02551084161,16284.225463867188,0.0003577819535780938,-0.0,-303483632.66960365,0.6148165316653889
18,450000.0,3500.2341228433015,255.4282580196107,0.27515438263118397,167387.646484375,1.15288703028682e-05,1.0914013941248402,26089.824998228287,18593.29833984375,0.00043707177240826227,-0.0,-256441623.14494446,0.6247780274670955
