zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
-2.481738136e+05   4.528035624e+03   9.846521820e+02   3.298061719e-05   4.082854558e-03   1.648779035e+00   3.922848105e-01   3.381953520e-05
-2.420664934e+05   4.544832706e+03   1.041305264e+03   3.475011407e-05   4.295137423e-03   1.648527026e+00   3.921572268e-01   3.563342008e-05
-2.359517411e+05   4.562857474e+03   1.101057556e+03   3.659987262e-05   4.519098742e-03   1.648224711e+00   3.920066655e-01   3.752946264e-05
-2.298276838e+05   4.582140775e+03   1.164073815e+03   3.853267458e-05   4.754970203e-03   1.647881866e+00   3.918374181e-01   3.951048254e-05
-2.236915853e+05   4.602703096e+03   1.230535496e+03   4.055167580e-05   5.002436394e-03   1.647512436e+00   3.916556537e-01   4.157972048e-05
-2.175402642e+05   4.624552642e+03   1.300638797e+03   4.266041767e-05   5.262169737e-03   1.647133708e+00   3.914690614e-01   4.374079197e-05
-2.113708096e+05   4.647683444e+03   1.374591996e+03   4.486275181e-05   5.534937053e-03   1.646731615e+00   3.912716806e-01   4.599762445e-05
-2.051808195e+05   4.672073596e+03   1.452607457e+03   4.716259447e-05   5.821989154e-03   1.646296382e+00   3.910589516e-01   4.835422559e-05
-1.989694493e+05   4.697683740e+03   1.534891503e+03   4.956366301e-05   6.126379019e-03   1.645828485e+00   3.908312321e-01   5.081439456e-05
-1.927374250e+05   4.724455942e+03   1.621639889e+03   5.206943191e-05   6.450091862e-03   1.645329833e+00   3.905888498e-01   5.338163329e-05
-1.864805518e+05   4.752313101e+03   1.713123332e+03   5.468584948e-05   6.782681270e-03   1.644801855e+00   3.903323114e-01   5.606201436e-05
-1.801923646e+05   4.781159086e+03   1.809674721e+03   5.742092476e-05   7.130318190e-03   1.644246817e+00   3.900618851e-01   5.886374596e-05
-1.738676729e+05   4.810879759e+03   1.911630498e+03   6.028294145e-05   7.488932542e-03   1.643653035e+00   3.897730708e-01   6.179525979e-05
-1.674970515e+05   4.841345073e+03   2.019447010e+03   6.328401910e-05   7.851739399e-03   1.643018007e+00   3.894646764e-01   6.486898401e-05
-1.610765855e+05   4.872412405e+03   2.133515586e+03   6.643431896e-05   8.237886042e-03   1.642342687e+00   3.891363442e-01   6.809533216e-05
-1.546199547e+05   4.903931247e+03   2.253932685e+03   6.973503609e-05   8.675412519e-03   1.641629696e+00   3.887895942e-01   7.147547105e-05
-1.481328125e+05   4.935749313e+03   2.380922126e+03   7.319150871e-05   9.120507558e-03   1.640883923e+00   3.884258270e-01   7.501489953e-05
-1.416054617e+05   4.967720036e+03   2.515031561e+03   7.681921411e-05   9.577897098e-03   1.640106678e+00   3.880454302e-01   7.872939518e-05
-1.350349308e+05   4.999711300e+03   2.656722664e+03   8.063068170e-05   1.006042340e-02   1.639290333e+00   3.876445889e-01   8.263181080e-05
-1.284240781e+05   5.031615070e+03   2.806359589e+03   8.463311578e-05   1.057423548e-02   1.639376760e+00   3.876621425e-01   8.673163526e-05
-1.217699876e+05   5.063357412e+03   2.964435097e+03   8.881676227e-05   1.110007383e-02   1.639719367e+00   3.877873719e-01   9.104181752e-05
-1.150718616e+05   5.094908157e+03   3.131416548e+03   9.319988395e-05   1.166829163e-02   1.640169144e+00   3.879668117e-01   9.557366780e-05
-1.083492960e+05   5.126289284e+03   3.307283691e+03   9.780405758e-05   1.232143127e-02   1.640472770e+00   3.881028593e-01   1.003225456e-04
-1.016118381e+05   5.157580929e+03   3.492269940e+03   1.026614837e-04   1.298549770e-02   1.640452862e+00   3.881288171e-01   1.052903450e-04
