zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
8.752338662e+06   5.895701416e+04   3.905066056e+08   5.507820399e-01   7.169406649e+03   1.583655000e+00   3.322321475e-01   5.652150661e-01
8.790287713e+06   5.925196264e+04   3.964082338e+08   5.560210338e-01   7.062881034e+03   1.584677458e+00   3.328416646e-01   5.705860941e-01
8.828402217e+06   5.954860464e+04   4.023924936e+08   5.613017184e-01   6.959649056e+03   1.585668087e+00   3.334364295e-01   5.759988685e-01
8.866683565e+06   5.984694395e+04   4.084607121e+08   5.666236014e-01   6.860175701e+03   1.586630702e+00   3.340198398e-01   5.814540598e-01
8.905133193e+06   6.014698682e+04   4.146140534e+08   5.719859251e-01   6.765482722e+03   1.587568283e+00   3.345946372e-01   5.869520379e-01
8.943752682e+06   6.044873997e+04   4.208537284e+08   5.773906363e-01   6.676146916e+03   1.588473797e+00   3.351567984e-01   5.924932143e-01
8.982543660e+06   6.075220883e+04   4.271809012e+08   5.828380954e-01   6.590674359e+03   1.589345455e+00   3.357056677e-01   5.980779273e-01
9.021507755e+06   6.105739863e+04   4.335970152e+08   5.883287746e-01   6.507726176e+03   1.590187788e+00   3.362418115e-01   6.037069076e-01
9.060646594e+06   6.136431467e+04   4.401033279e+08   5.938627034e-01   6.426134755e+03   1.590999603e+00   3.367654383e-01   6.093805844e-01
9.099961803e+06   6.167296228e+04   4.467010964e+08   5.994401971e-01   6.344769577e+03   1.591784835e+00   3.372767866e-01   6.150993632e-01
9.139455019e+06   6.198334692e+04   4.533916712e+08   6.050612432e-01   6.264051889e+03   1.592543602e+00   3.377763331e-01   6.208637594e-01
9.179127895e+06   6.229547439e+04   4.601765424e+08   6.107262657e-01   6.186827326e+03   1.593278408e+00   3.382645845e-01   6.266744585e-01
9.218982166e+06   6.260935113e+04   4.670569208e+08   6.164353851e-01   6.112664974e+03   1.593990326e+00   3.387415111e-01   6.325317108e-01
9.259019685e+06   6.292498319e+04   4.740344826e+08   6.221912685e-01   6.041198610e+03   1.594672441e+00   3.392034769e-01   6.384364101e-01
9.299242315e+06   6.324237514e+04   4.811103456e+08   6.279947900e-01   5.972153370e+03   1.595323563e+00   3.396498263e-01   6.443886485e-01
9.339651894e+06   6.356153118e+04   4.882863257e+08   6.338463417e-01   5.905309362e+03   1.595944047e+00   3.400809169e-01   6.503894850e-01
9.380250265e+06   6.388245567e+04   4.955637269e+08   6.397457886e-01   5.840478564e+03   1.596533060e+00   3.404972851e-01   6.564392290e-01
9.421039269e+06   6.420515320e+04   5.029442720e+08   6.456934937e-01   5.777499978e+03   1.597091198e+00   3.408999145e-01   6.625387449e-01
9.462020720e+06   6.452962843e+04   5.104293581e+08   6.516896403e-01   5.716227711e+03   1.597619057e+00   3.412891030e-01   6.686884145e-01
9.503196431e+06   6.485588632e+04   5.180207081e+08   6.577341740e-01   5.656526282e+03   1.598114848e+00   3.416660726e-01   6.748890378e-01
9.544568320e+06   6.518393288e+04   5.257197656e+08   6.638277793e-01   5.598274235e+03   1.598577142e+00   3.420304358e-01   6.811409886e-01
9.586138404e+06   6.551377347e+04   5.335283931e+08   6.699735310e-01   5.541373017e+03   1.598998427e+00   3.423785269e-01   6.874451911e-01
9.627908674e+06   6.584541192e+04   5.414481740e+08   6.761721693e-01   5.485714398e+03   1.599379301e+00   3.427104652e-01   6.938021780e-01
9.669881096e+06   6.617885201e+04   5.494808778e+08   6.824241036e-01   5.431192977e+03   1.599721432e+00   3.430269659e-01   7.002127040e-01
9.712057637e+06   6.651409780e+04   5.576281808e+08   6.887293525e-01   5.377705147e+03   1.600027800e+00   3.433285952e-01   7.066773659e-01
9.754440258e+06   6.685115343e+04   5.658920389e+08   6.950881918e-01   5.325152713e+03   1.600300670e+00   3.436158597e-01   7.131971021e-01
9.797030919e+06   6.719002315e+04   5.742740352e+08   7.015005792e-01   5.273438869e+03   1.600544691e+00   3.438894749e-01   7.197723237e-01
9.839831683e+06   6.753071221e+04   5.827760790e+08   7.079666109e-01   5.222470415e+03   1.600762606e+00   3.441502452e-01   7.264038291e-01
9.882844759e+06   6.787322595e+04   5.914002191e+08   7.144890223e-01   5.172171789e+03   1.600950003e+00   3.443946540e-01   7.330925624e-01
9.926072364e+06   6.821756774e+04   6.001482252e+08   7.210695196e-01   5.122463457e+03   1.601101875e+00   3.446210921e-01   7.398390954e-01
9.969516634e+06   6.856374007e+04   6.090221461e+08   7.277084082e-01   5.073259896e+03   1.601221561e+00   3.448310196e-01   7.466443408e-01
1.001317961e+07   6.891174604e+04   6.180241238e+08   7.344065273e-01   5.024480010e+03   1.601313829e+00   3.450262547e-01   7.535092857e-01
1.005706326e+07   6.926158933e+04   6.271560211e+08   7.411639664e-01   4.976039724e+03   1.601380587e+00   3.452083766e-01   7.604345166e-01
1.010116947e+07   6.961327439e+04   6.364197936e+08   7.479811386e-01   4.927857175e+03   1.601426244e+00   3.453792036e-01   7.674206983e-01
1.014550012e+07   6.996680719e+04   6.458174437e+08   7.548576838e-01   4.879845695e+03   1.601452827e+00   3.455406129e-01   7.744685045e-01
1.019005730e+07   7.032219471e+04   6.553512532e+08   7.617944434e-01   4.831728160e+03   1.601455688e+00   3.456904292e-01   7.815789108e-01
1.023484327e+07   7.067944232e+04   6.650232710e+08   7.687935075e-01   4.783389796e+03   1.601429343e+00   3.458250463e-01   7.887525853e-01
1.027986021e+07   7.103855363e+04   6.748359185e+08   7.758555745e-01   4.735080563e+03   1.601373911e+00   3.459451795e-01   7.959906457e-01
1.032511028e+07   7.139953249e+04   6.847911049e+08   7.829810092e-01   4.686995658e+03   1.601293087e+00   3.460521102e-01   8.032935363e-01
1.037059558e+07   7.176238324e+04   6.948914379e+08   7.901703381e-01   4.639299369e+03   1.601186752e+00   3.461467922e-01   8.106625176e-01
1.041631818e+07   7.212711062e+04   7.051388733e+08   7.974238444e-01   4.592139356e+03   1.601058006e+00   3.462305367e-01   8.180980080e-01
1.046228014e+07   7.249372017e+04   7.155358791e+08   8.047420412e-01   4.545661416e+03   1.600907207e+00   3.463041782e-01   8.256010038e-01
1.050848363e+07   7.286221790e+04   7.260850165e+08   8.121270390e-01   4.500027542e+03   1.600727916e+00   3.463659883e-01   8.331725662e-01
1.055493092e+07   7.323260873e+04   7.367885672e+08   8.195806644e-01   4.455422058e+03   1.600515604e+00   3.464138806e-01   8.408133994e-01
1.060162424e+07   7.360489646e+04   7.476489525e+08   8.271035815e-01   4.412001047e+03   1.600274205e+00   3.464482427e-01   8.485243542e-01
1.064856578e+07   7.397908502e+04   7.586688735e+08   8.346961893e-01   4.368931909e+03   1.600009441e+00   3.464702964e-01   8.563065711e-01
1.069575769e+07   7.435517863e+04   7.698507980e+08   8.423590921e-01   4.325986167e+03   1.599725723e+00   3.464808166e-01   8.641608685e-01
1.074320211e+07   7.473318182e+04   7.811974268e+08   8.500925333e-01   4.283255505e+03   1.599429488e+00   3.464807272e-01   8.720882937e-01
1.079090123e+07   7.511310035e+04   7.927109487e+08   8.578966517e-01   4.240806247e+03   1.599125147e+00   3.464709520e-01   8.800892402e-01
1.083885741e+07   7.549493956e+04   8.043945767e+08   8.657750544e-01   4.198702523e+03   1.598807931e+00   3.464476764e-01   8.881652569e-01
1.088707293e+07   7.587870291e+04   8.162511513e+08   8.737289112e-01   4.156988481e+03   1.598474026e+00   3.464111686e-01   8.963174375e-01
1.093555000e+07   7.626439379e+04   8.282832801e+08   8.817587991e-01   4.115698698e+03   1.598121166e+00   3.463630080e-01   9.045465686e-01
1.098429074e+07   7.665201625e+04   8.404935710e+08   8.898654225e-01   4.074862713e+03   1.597749591e+00   3.463047147e-01   9.128533969e-01
1.103329714e+07   7.704157487e+04   8.528851904e+08   8.980492418e-01   4.034504892e+03   1.597357750e+00   3.462378681e-01   9.212392542e-01
1.108257121e+07   7.743307531e+04   8.654607460e+08   9.063101528e-01   3.994644065e+03   1.596945524e+00   3.461638391e-01   9.297047808e-01
1.113211509e+07   7.782652446e+04   8.782234974e+08   9.146503421e-01   3.955303706e+03   1.596511245e+00   3.460814655e-01   9.382512884e-01
1.118193103e+07   7.822192773e+04   8.911764249e+08   9.230722917e-01   3.916505276e+03   1.596053362e+00   3.459873497e-01   9.468797492e-01
1.123202119e+07   7.861928880e+04   9.043223225e+08   9.315767768e-01   3.878261679e+03   1.595577717e+00   3.458830416e-01   9.555909119e-01
1.128238762e+07   7.901861190e+04   9.176644497e+08   9.401641688e-01   3.840581254e+03   1.595089912e+00   3.457702994e-01   9.643859881e-01
1.133303217e+07   7.941990169e+04   9.312061593e+08   9.488359848e-01   3.803472016e+03   1.594595432e+00   3.456509113e-01   9.732662353e-01
1.138395658e+07   7.982316381e+04   9.449503385e+08   9.575922221e-01   3.766931790e+03   1.594098091e+00   3.455270231e-01   9.822323450e-01
1.143516265e+07   8.022840591e+04   9.588997811e+08   9.664340527e-01   3.731087943e+03   1.593598127e+00   3.453993499e-01   9.912848497e-01
1.148665237e+07   8.063563478e+04   9.730588645e+08   9.753646686e-01   3.696434185e+03   1.593083382e+00   3.452627957e-01   1.000425956e+00
1.153842768e+07   8.104485541e+04   9.874296375e+08   9.843846177e-01   3.662787495e+03   1.592558622e+00   3.451194167e-01   1.009655348e+00
1.159049040e+07   8.145607442e+04   1.002016570e+09   9.934957276e-01   3.629951822e+03   1.592032194e+00   3.449720442e-01   1.018975231e+00
1.164284220e+07   8.186930043e+04   1.016822271e+09   1.002697753e+00   3.597768654e+03   1.591508746e+00   3.448233902e-01   1.028385747e+00
1.169548464e+07   8.228454262e+04   1.031850744e+09   1.011990701e+00   3.566105407e+03   1.590991020e+00   3.446741998e-01   1.037888463e+00
1.174841937e+07   8.270181129e+04   1.047104876e+09   1.021373851e+00   3.534840841e+03   1.590478897e+00   3.445250094e-01   1.047483705e+00
1.180164831e+07   8.312111582e+04   1.062588301e+09   1.030850551e+00   3.503869256e+03   1.589958906e+00   3.443701565e-01   1.057172552e+00
1.185517338e+07   8.354246300e+04   1.078304928e+09   1.040421590e+00   3.473074800e+03   1.589430928e+00   3.442105651e-01   1.066956356e+00
1.190899636e+07   8.396585963e+04   1.094258577e+09   1.050087730e+00   3.442329087e+03   1.588899016e+00   3.440480530e-01   1.076836339e+00
1.196311884e+07   8.439131339e+04   1.110452320e+09   1.059848472e+00   3.411475637e+03   1.588368893e+00   3.438847065e-01   1.086812900e+00
1.201754233e+07   8.481883329e+04   1.126890164e+09   1.069704542e+00   3.380316260e+03   1.587845802e+00   3.437223732e-01   1.096887328e+00
1.207226847e+07   8.524843037e+04   1.143575925e+09   1.079656339e+00   3.348934059e+03   1.587332487e+00   3.435615599e-01   1.107060636e+00
1.212729906e+07   8.568011491e+04   1.160513237e+09   1.089706769e+00   3.318552226e+03   1.586817741e+00   3.433974683e-01   1.117333615e+00
1.218263591e+07   8.611389479e+04   1.177706290e+09   1.099856739e+00   3.289032711e+03   1.586305737e+00   3.432310820e-01   1.127707603e+00
1.223828066e+07   8.654977819e+04   1.195158996e+09   1.110106606e+00   3.260142020e+03   1.585802436e+00   3.430640996e-01   1.138183600e+00
1.229423482e+07   8.698777418e+04   1.212874893e+09   1.120456905e+00   3.231703201e+03   1.585312605e+00   3.428983390e-01   1.148762176e+00
1.235049980e+07   8.742789321e+04   1.230858639e+09   1.130908092e+00   3.203571587e+03   1.584841728e+00   3.427356482e-01   1.159444938e+00
1.240707705e+07   8.787014713e+04   1.249113772e+09   1.141461386e+00   3.175621316e+03   1.584392190e+00   3.425757289e-01   1.170232330e+00
1.246396817e+07   8.831454710e+04   1.267644670e+09   1.152118912e+00   3.147734152e+03   1.583958864e+00   3.424157798e-01   1.181125593e+00
1.252117478e+07   8.876110302e+04   1.286455244e+09   1.162881548e+00   3.119784287e+03   1.583536983e+00   3.422560990e-01   1.192125481e+00
1.257869846e+07   8.920982494e+04   1.305550523e+09   1.173749757e+00   3.091627499e+03   1.583122253e+00   3.420971334e-01   1.203233771e+00
1.263654084e+07   8.966072319e+04   1.324933674e+09   1.184723347e+00   3.063082768e+03   1.582709789e+00   3.419390321e-01   1.214450399e+00
1.269470370e+07   9.011380920e+04   1.344610099e+09   1.195803405e+00   3.033924099e+03   1.582293034e+00   3.417818546e-01   1.225777368e+00
1.275318905e+07   9.056909336e+04   1.364584360e+09   1.206991389e+00   3.004356331e+03   1.581864238e+00   3.416210711e-01   1.237215836e+00
1.281199887e+07   9.102658326e+04   1.384860557e+09   1.218288900e+00   2.974651285e+03   1.581429243e+00   3.414576352e-01   1.248766519e+00
1.287113471e+07   9.148628674e+04   1.405443717e+09   1.229697310e+00   2.944921741e+03   1.580998540e+00   3.412953317e-01   1.260430949e+00
1.293059774e+07   9.194821356e+04   1.426338032e+09   1.241218000e+00   2.915250965e+03   1.580583930e+00   3.411380649e-01   1.272209810e+00
1.299038873e+07   9.241237628e+04   1.447548438e+09   1.252852096e+00   2.885705236e+03   1.580196381e+00   3.409897387e-01   1.284104391e+00
1.305050851e+07   9.287879096e+04   1.469079312e+09   1.264600686e+00   2.856341306e+03   1.579837561e+00   3.408509493e-01   1.296115354e+00
1.311095815e+07   9.334747306e+04   1.490934845e+09   1.276465288e+00   2.827212044e+03   1.579493642e+00   3.407169282e-01   1.308243154e+00
1.317173872e+07   9.381843563e+04   1.513120718e+09   1.288446813e+00   2.798368183e+03   1.579168916e+00   3.405884206e-01   1.320489596e+00
1.323285121e+07   9.429169193e+04   1.535640750e+09   1.300544457e+00   2.769859591e+03   1.578867197e+00   3.404662907e-01   1.332854732e+00
1.329429657e+07   9.476725609e+04   1.558500249e+09   1.312759410e+00   2.741745218e+03   1.578592300e+00   3.403515816e-01   1.345339901e+00
1.335607586e+07   9.524514375e+04   1.581703871e+09   1.325091438e+00   2.714093678e+03   1.578347445e+00   3.402441442e-01   1.357945775e+00
1.341819031e+07   9.572536918e+04   1.605257206e+09   1.337542797e+00   2.687000479e+03   1.578128099e+00   3.401399255e-01   1.370673830e+00
1.348064095e+07   9.620794432e+04   1.629164815e+09   1.350115085e+00   2.660604782e+03   1.577933311e+00   3.400416076e-01   1.383524623e+00
1.354342835e+07   9.669288265e+04   1.653431728e+09   1.362808577e+00   2.634741043e+03   1.577761054e+00   3.399531543e-01   1.396499066e+00
1.360655267e+07   9.718020020e+04   1.678062417e+09   1.375623825e+00   2.608965465e+03   1.577612162e+00   3.398786187e-01   1.409597493e+00
1.367001383e+07   9.766991669e+04   1.703062095e+09   1.388562287e+00   2.583351514e+03   1.577485919e+00   3.398211300e-01   1.422820773e+00
1.373381184e+07   9.816205397e+04   1.728436165e+09   1.401624660e+00   2.557955052e+03   1.577381134e+00   3.397783935e-01   1.436169849e+00
1.379794698e+07   9.865663267e+04   1.754189096e+09   1.414811586e+00   2.532815927e+03   1.577299356e+00   3.397482932e-01   1.449644829e+00
1.386241960e+07   9.915367225e+04   1.780325547e+09   1.428122952e+00   2.507960707e+03   1.577242017e+00   3.397296667e-01   1.463245963e+00
1.392723019e+07   9.965319181e+04   1.806851476e+09   1.441559026e+00   2.483404849e+03   1.577211618e+00   3.397218585e-01   1.476974567e+00
1.399237929e+07   1.001552098e+05   1.833771914e+09   1.455120701e+00   2.459177112e+03   1.577208400e+00   3.397240937e-01   1.490831126e+00
1.405786740e+07   1.006597445e+05   1.861092076e+09   1.468808778e+00   2.435618573e+03   1.577232122e+00   3.397366107e-01   1.504816243e+00
1.412369503e+07   1.011668147e+05   1.888817735e+09   1.482624382e+00   2.412729810e+03   1.577280998e+00   3.397594988e-01   1.518930940e+00
1.418986267e+07   1.016764393e+05   1.916954108e+09   1.496568459e+00   2.390403061e+03   1.577353954e+00   3.397926092e-01   1.533175723e+00
1.425637084e+07   1.021886374e+05   1.945506781e+09   1.510641907e+00   2.368555745e+03   1.577448606e+00   3.398354948e-01   1.547551351e+00
1.432322004e+07   1.027034280e+05   1.974481344e+09   1.524845824e+00   2.347122416e+03   1.577564955e+00   3.398880363e-01   1.562058539e+00
1.439041083e+07   1.032208303e+05   2.003883384e+09   1.539180692e+00   2.326048647e+03   1.577701569e+00   3.399500847e-01   1.576697944e+00
1.445794379e+07   1.037408637e+05   2.033719234e+09   1.553647606e+00   2.305289119e+03   1.577857971e+00   3.400214016e-01   1.591470776e+00
1.452581950e+07   1.042635476e+05   2.063993923e+09   1.568247208e+00   2.284804210e+03   1.578034401e+00   3.401015699e-01   1.606377129e+00
1.459403858e+07   1.047889013e+05   2.094714157e+09   1.582980912e+00   2.264559807e+03   1.578231335e+00   3.401905000e-01   1.621418411e+00
1.466260168e+07   1.053169444e+05   2.125885524e+09   1.597849115e+00   2.244524343e+03   1.578449845e+00   3.402878940e-01   1.636595066e+00
1.473150952e+07   1.058476968e+05   2.157513797e+09   1.612853103e+00   2.224670037e+03   1.578692436e+00   3.403931558e-01   1.651907640e+00
1.480076283e+07   1.063811778e+05   2.189605869e+09   1.627994498e+00   2.204971743e+03   1.578957796e+00   3.405058980e-01   1.667357531e+00
1.487036239e+07   1.069174068e+05   2.222167887e+09   1.643274177e+00   2.185405445e+03   1.579244375e+00   3.406256735e-01   1.682945482e+00
1.494030901e+07   1.074564031e+05   2.255206183e+09   1.658693565e+00   2.165949212e+03   1.579550028e+00   3.407520652e-01   1.698672330e+00
1.501060350e+07   1.079981860e+05   2.288727090e+09   1.674253830e+00   2.146582166e+03   1.579873085e+00   3.408849537e-01   1.714538861e+00
1.508124664e+07   1.085427746e+05   2.322736941e+09   1.689956024e+00   2.127284399e+03   1.580211163e+00   3.410242796e-01   1.730545813e+00
1.515223923e+07   1.090901881e+05   2.357243188e+09   1.705802067e+00   2.108037672e+03   1.580562592e+00   3.411698639e-01   1.746694727e+00
1.522358202e+07   1.096404458e+05   2.392251603e+09   1.721792564e+00   2.088823259e+03   1.580924988e+00   3.413217962e-01   1.762985793e+00
1.529527573e+07   1.101935673e+05   2.427769639e+09   1.737928872e+00   2.069623634e+03   1.581297159e+00   3.414804637e-01   1.779420431e+00
1.536732102e+07   1.107495721e+05   2.463804185e+09   1.754212254e+00   2.050421527e+03   1.581683517e+00   3.416455686e-01   1.795999569e+00
1.543971848e+07   1.113084785e+05   2.500361204e+09   1.770643780e+00   2.031199670e+03   1.582083702e+00   3.418163955e-01   1.812723405e+00
1.551246862e+07   1.118703039e+05   2.537448891e+09   1.787223874e+00   2.011940129e+03   1.582496762e+00   3.419929147e-01   1.829593782e+00
1.558557209e+07   1.124350669e+05   2.575073205e+09   1.803948373e+00   1.992620707e+03   1.582924485e+00   3.421764374e-01   1.846610787e+00
1.565902962e+07   1.130027872e+05   2.613241412e+09   1.820817438e+00   1.973221533e+03   1.583365798e+00   3.423670530e-01   1.863775409e+00
1.573284189e+07   1.135734850e+05   2.651961520e+09   1.837832180e+00   1.953721226e+03   1.583821177e+00   3.425653577e-01   1.881089118e+00
1.580700952e+07   1.141471808e+05   2.691239491e+09   1.854992849e+00   1.934093852e+03   1.584289312e+00   3.427714109e-01   1.898551815e+00
1.588153310e+07   1.147238953e+05   2.731083147e+09   1.872300098e+00   1.914307132e+03   1.584770203e+00   3.429857492e-01   1.916164710e+00
1.595641297e+07   1.153036490e+05   2.771499567e+09   1.889755637e+00   1.894317795e+03   1.585266113e+00   3.432093859e-01   1.933928420e+00
1.603164921e+07   1.158864642e+05   2.812496014e+09   1.907359646e+00   1.874059685e+03   1.585784674e+00   3.434453905e-01   1.951843596e+00
1.610724188e+07   1.164723657e+05   2.854078822e+09   1.925112633e+00   1.853493350e+03   1.586325526e+00   3.436932266e-01   1.969910116e+00
1.618319123e+07   1.170613783e+05   2.896256559e+09   1.943014662e+00   1.833265465e+03   1.586886883e+00   3.439518809e-01   1.988129411e+00
1.625949764e+07   1.176535261e+05   2.939035930e+09   1.961066342e+00   1.813429796e+03   1.587465286e+00   3.442198038e-01   2.006501535e+00
1.633616167e+07   1.182488327e+05   2.982424200e+09   1.979266785e+00   1.793819542e+03   1.588058949e+00   3.444962204e-01   2.025026905e+00
1.641318407e+07   1.188473211e+05   3.026429750e+09   1.997617438e+00   1.774274371e+03   1.588666081e+00   3.447796404e-01   2.043706682e+00
1.649056577e+07   1.194490140e+05   3.071060404e+09   2.016118235e+00   1.754622899e+03   1.589282990e+00   3.450689316e-01   2.062541581e+00
1.656830766e+07   1.200539314e+05   3.116324544e+09   2.034769609e+00   1.734666038e+03   1.589907646e+00   3.453628123e-01   2.081532703e+00
1.664641014e+07   1.206620930e+05   3.162229061e+09   2.053572637e+00   1.714437960e+03   1.590551138e+00   3.456665576e-01   2.100680068e+00
1.672487315e+07   1.212735234e+05   3.208782151e+09   2.072528291e+00   1.694085010e+03   1.591222048e+00   3.459835052e-01   2.119984434e+00
1.680369668e+07   1.218882498e+05   3.255992010e+09   2.091637565e+00   1.673629457e+03   1.591916800e+00   3.463124633e-01   2.139446437e+00
1.688288095e+07   1.225062990e+05   3.303865716e+09   2.110899394e+00   1.653088634e+03   1.592633247e+00   3.466521204e-01   2.159065910e+00
1.696242633e+07   1.231276972e+05   3.352411464e+09   2.130314729e+00   1.632478750e+03   1.593367815e+00   3.470011652e-01   2.178843408e+00
1.704233340e+07   1.237524699e+05   3.401637822e+09   2.149884271e+00   1.611814429e+03   1.594118834e+00   3.473581970e-01   2.198779695e+00
1.712260294e+07   1.243806417e+05   3.451553360e+09   2.169608409e+00   1.591109141e+03   1.594880939e+00   3.477217555e-01   2.218875496e+00
1.720323591e+07   1.250122363e+05   3.502166644e+09   2.189487934e+00   1.570375830e+03   1.595652580e+00   3.480903804e-01   2.239131495e+00
1.728423354e+07   1.256472768e+05   3.553486243e+09   2.209522525e+00   1.549626326e+03   1.596428871e+00   3.484624028e-01   2.259548335e+00
1.736559731e+07   1.262857856e+05   3.605521843e+09   2.229713371e+00   1.528872709e+03   1.597206831e+00   3.488363326e-01   2.280127347e+00
1.744732894e+07   1.269277840e+05   3.658282384e+09   2.250062667e+00   1.508127071e+03   1.597982287e+00   3.492105305e-01   2.300869315e+00
1.752943010e+07   1.275732900e+05   3.711778298e+09   2.270570511e+00   1.487400263e+03   1.598750830e+00   3.495831490e-01   2.321775990e+00
1.761190190e+07   1.282223211e+05   3.766018152e+09   2.291238692e+00   1.466703504e+03   1.599526405e+00   3.499601781e-01   2.342847853e+00
1.769474497e+07   1.288749004e+05   3.821011260e+09   2.312068794e+00   1.446047256e+03   1.600316405e+00   3.503451943e-01   2.364085696e+00
1.777795996e+07   1.295310535e+05   3.876766562e+09   2.333060529e+00   1.425440706e+03   1.601119161e+00   3.507370949e-01   2.385489954e+00
1.786154773e+07   1.301908058e+05   3.933293372e+09   2.354215847e+00   1.404893659e+03   1.601931214e+00   3.511345983e-01   2.407061254e+00
1.794550929e+07   1.308541821e+05   3.990601748e+09   2.375534601e+00   1.384414742e+03   1.602750659e+00   3.515366316e-01   2.428800641e+00
1.802984588e+07   1.315212064e+05   4.048702493e+09   2.397017752e+00   1.364012730e+03   1.603574276e+00   3.519418538e-01   2.450709580e+00
1.811455892e+07   1.321919022e+05   4.107602686e+09   2.418666284e+00   1.343696106e+03   1.604399085e+00   3.523488641e-01   2.472787149e+00
1.819965003e+07   1.328662918e+05   4.167316109e+09   2.440481707e+00   1.323473238e+03   1.605222702e+00   3.527562916e-01   2.495036566e+00
1.828512104e+07   1.335443970e+05   4.227851331e+09   2.462464098e+00   1.303351666e+03   1.606041789e+00   3.531628549e-01   2.517457719e+00
1.837097405e+07   1.342262385e+05   4.289219528e+09   2.484615494e+00   1.283339319e+03   1.606853008e+00   3.535669446e-01   2.540052076e+00
1.845721123e+07   1.349118354e+05   4.351433367e+09   2.506937935e+00   1.263443820e+03   1.607653618e+00   3.539671302e-01   2.562821971e+00
1.854383448e+07   1.356012047e+05   4.414502904e+09   2.529432244e+00   1.243672097e+03   1.608447671e+00   3.543652296e-01   2.585768112e+00
1.863084528e+07   1.362943663e+05   4.478437826e+09   2.552101033e+00   1.224031173e+03   1.609245300e+00   3.547655344e-01   2.608890860e+00
1.871824502e+07   1.369913435e+05   4.543251172e+09   2.574946897e+00   1.204527537e+03   1.610044479e+00   3.551674187e-01   2.632192458e+00
1.880603525e+07   1.376921592e+05   4.608951509e+09   2.597967923e+00   1.185168812e+03   1.610843658e+00   3.555699289e-01   2.655672398e+00
1.889421767e+07   1.383968360e+05   4.675555602e+09   2.621168643e+00   1.165968110e+03   1.611642122e+00   3.559722304e-01   2.679334999e+00
1.898279408e+07   1.391053959e+05   4.743071273e+09   2.644548856e+00   1.146930081e+03   1.612436771e+00   3.563734591e-01   2.703179170e+00
1.907176645e+07   1.398178601e+05   4.811509699e+09   2.668109128e+00   1.128059121e+03   1.613225698e+00   3.567727208e-01   2.727205768e+00
1.916113687e+07   1.405342497e+05   4.880885407e+09   2.691852934e+00   1.109360217e+03   1.614006877e+00   3.571690619e-01   2.751417539e+00
1.925090758e+07   1.412545847e+05   4.951211065e+09   2.715780058e+00   1.090837155e+03   1.614778042e+00   3.575617075e-01   2.775816065e+00
1.934108099e+07   1.419788849e+05   5.022496730e+09   2.739892326e+00   1.072494092e+03   1.615536809e+00   3.579497337e-01   2.800401351e+00
1.943165948e+07   1.427071685e+05   5.094758794e+09   2.764192603e+00   1.054335277e+03   1.616280556e+00   3.583324254e-01   2.825177020e+00
1.952264518e+07   1.434394535e+05   5.168008059e+09   2.788685251e+00   1.036365096e+03   1.617013693e+00   3.587120771e-01   2.850143388e+00
1.961403997e+07   1.441757599e+05   5.242257938e+09   2.813371733e+00   1.018586982e+03   1.617738366e+00   3.590896726e-01   2.875302153e+00
1.970584579e+07   1.449161088e+05   5.317521468e+09   2.838253925e+00   1.001004328e+03   1.618453741e+00   3.594649136e-01   2.900654690e+00
1.979806460e+07   1.456605210e+05   5.393815413e+09   2.863332666e+00   9.836202537e+02   1.619161606e+00   3.598378003e-01   2.926204377e+00
1.989069844e+07   1.464090174e+05   5.471148342e+09   2.888608082e+00   9.664378053e+02   1.619860411e+00   3.602079153e-01   2.951949892e+00
1.998374941e+07   1.471616189e+05   5.549537763e+09   2.914082161e+00   9.494606635e+02   1.620550871e+00   3.605751395e-01   2.977894841e+00
2.007721969e+07   1.479183462e+05   5.628995225e+09   2.939755093e+00   9.326926398e+02   1.621233344e+00   3.609391451e-01   3.004039423e+00
2.017111156e+07   1.486792203e+05   5.709536374e+09   2.965627364e+00   9.161386699e+02   1.621908426e+00   3.612997532e-01   3.030386019e+00
2.026542738e+07   1.494442618e+05   5.791175738e+09   2.991701201e+00   8.998061906e+02   1.622575760e+00   3.616564572e-01   3.056936306e+00
2.036016951e+07   1.502134907e+05   5.873926729e+09   3.017977010e+00   8.837007413e+02   1.623235703e+00   3.620091379e-01   3.083691283e+00
2.045534013e+07   1.509869268e+05   5.957806483e+09   3.044462363e+00   8.677425557e+02   1.623888969e+00   3.623587191e-01   3.110653887e+00
2.055094126e+07   1.517645909e+05   6.042828783e+09   3.071160827e+00   8.519460716e+02   1.624535322e+00   3.627055585e-01   3.137825118e+00
2.064697479e+07   1.525465039e+05   6.129009277e+09   3.098073959e+00   8.363545833e+02   1.625175238e+00   3.630499244e-01   3.165206885e+00
2.074344249e+07   1.533326858e+05   6.216360256e+09   3.125201750e+00   8.209990705e+02   1.625809908e+00   3.633917868e-01   3.192799237e+00
2.084034596e+07   1.541231552e+05   6.304901838e+09   3.152548024e+00   8.059031485e+02   1.626438737e+00   3.637314439e-01   3.220606323e+00
2.093768677e+07   1.549179311e+05   6.394644827e+09   3.180109030e+00   7.910838214e+02   1.627063513e+00   3.640691936e-01   3.248627264e+00
2.103546664e+07   1.557170350e+05   6.485606730e+09   3.207883163e+00   7.765547790e+02   1.627686262e+00   3.644067943e-01   3.276864574e+00
