 6.964853948e+08   1.046375431e+05   3.890962601e-01
 6.964799198e+08   1.049204379e+05   3.893875778e-01
 6.964744019e+08   1.049228084e+05   3.896655738e-01
 6.964688444e+08   1.049249090e+05   3.899340630e-01
 6.964632501e+08   1.049289665e+05   3.901993930e-01
 6.964576218e+08   1.049338183e+05   3.904693425e-01
 6.964519619e+08   1.049406905e+05   3.907331526e-01
 6.964462728e+08   1.049482396e+05   3.909863532e-01
 6.964405566e+08   1.049571362e+05   3.912310898e-01
 6.964348152e+08   1.049682068e+05   3.914710581e-01
 6.964290504e+08   1.049816833e+05   3.917116821e-01
 6.964232638e+08   1.049972878e+05   3.919492662e-01
 6.964174570e+08   1.050152207e+05   3.921772242e-01
 6.964116312e+08   1.050360076e+05   3.923961222e-01
 6.964057878e+08   1.050589088e+05   3.926075101e-01
 6.963999279e+08   1.050858205e+05   3.928142488e-01
 6.963940525e+08   1.051160836e+05   3.930175900e-01
 6.963881627e+08   1.051497544e+05   3.932121098e-01
 6.963822592e+08   1.051878911e+05   3.933932781e-01
 6.963763426e+08   1.052293744e+05   3.935559094e-01
 6.963704133e+08   1.052758295e+05   3.936929703e-01
 6.963644718e+08   1.053283400e+05   3.937929571e-01
 6.963585184e+08   1.053869056e+05   3.938412964e-01
 6.963525535e+08   1.054505244e+05   3.938432038e-01
 6.963465776e+08   1.055204756e+05   3.938089311e-01
 6.963405910e+08   1.055987771e+05   3.937540948e-01
 6.963345941e+08   1.056859483e+05   3.936903477e-01
 6.963285872e+08   1.057823433e+05   3.935806453e-01
 6.963225707e+08   1.058890036e+05   3.934299052e-01
 6.963165450e+08   1.060062106e+05   3.932577968e-01
 6.963105106e+08   1.061346440e+05   3.930911422e-01
 6.963044682e+08   1.062773528e+05   3.929636776e-01
 6.962984187e+08   1.064350761e+05   3.928703368e-01
 6.962923639e+08   1.066087051e+05   3.928008080e-01
 6.962863045e+08   1.067983415e+05   3.927473128e-01
 6.962802400e+08   1.070061656e+05   3.926992118e-01
 6.962741699e+08   1.072339147e+05   3.926415145e-01
 6.962680945e+08   1.074820753e+05   3.925865889e-01
 6.962620139e+08   1.077527352e+05   3.925428391e-01
 6.962559285e+08   1.080463709e+05   3.925024271e-01
 6.962498381e+08   1.083657186e+05   3.924545646e-01
 6.962437426e+08   1.087117546e+05   3.923858106e-01
 6.962376415e+08   1.090836570e+05   3.922848105e-01
 6.962315342e+08   1.094844363e+05   3.921572268e-01
 6.962254194e+08   1.099153458e+05   3.920066655e-01
 6.962192954e+08   1.103750725e+05   3.918374181e-01
 6.962131593e+08   1.108682339e+05   3.916556537e-01
 6.962070079e+08   1.113907757e+05   3.914690614e-01
