r[m]	temperatures[K]	pressures[Pa]	rhos[kg/m^3]	kappas[m^2/kg]	gamma1s[idklol]	nablaads[K/m?]
6.964853948e+08	4.348195622e+03	9.455763950e+01	3.292483196e-06	5.794816074e-04	1.640705347e+00	3.890962601e-01
6.964799198e+08	4.348491376e+03	9.962772829e+01	3.469052656e-06	6.053543619e-04	1.641361237e+00	3.893875778e-01
6.964744019e+08	4.348819391e+03	1.050124765e+02	3.656544567e-06	6.325422610e-04	1.641996861e+00	3.896655738e-01
6.964688444e+08	4.349183165e+03	1.107301695e+02	3.855586495e-06	6.611043933e-04	1.642617464e+00	3.899340630e-01
6.964632501e+08	4.349586572e+03	1.167999808e+02	4.066837852e-06	6.911013949e-04	1.643232822e+00	3.901993930e-01
6.964576218e+08	4.350033899e+03	1.232423386e+02	4.290994965e-06	7.225964686e-04	1.643855214e+00	3.904693425e-01
6.964519619e+08	4.350529891e+03	1.300788921e+02	4.528800026e-06	7.556567099e-04	1.644459486e+00	3.907331526e-01
6.964462728e+08	4.351079796e+03	1.373324787e+02	4.781031798e-06	7.903518172e-04	1.645035625e+00	3.909863532e-01
6.964405566e+08	4.351689417e+03	1.450275233e+02	5.048516165e-06	8.267555592e-04	1.645590782e+00	3.912310898e-01
6.964348152e+08	4.352365170e+03	1.531898053e+02	5.332127279e-06	8.649459156e-04	1.646134377e+00	3.914710581e-01
6.964290504e+08	4.353114143e+03	1.618466361e+02	5.632781767e-06	9.050043293e-04	1.646681190e+00	3.917116821e-01
6.964232638e+08	4.353944166e+03	1.710269260e+02	5.951447211e-06	9.470169135e-04	1.647219658e+00	3.919492662e-01
6.964174570e+08	4.354863880e+03	1.807612837e+02	6.289147862e-06	9.910752792e-04	1.647730589e+00	3.921772242e-01
6.964116312e+08	4.355882820e+03	1.910823499e+02	6.646975675e-06	1.037278046e-03	1.648216844e+00	3.923961222e-01
6.964057878e+08	4.357011495e+03	2.020243528e+02	7.026069847e-06	1.085728365e-03	1.648685813e+00	3.926075101e-01
6.963999279e+08	4.358261488e+03	2.136238297e+02	7.427640202e-06	1.136537115e-03	1.649148464e+00	3.928142488e-01
6.963940525e+08	4.359645545e+03	2.259191278e+02	7.852945921e-06	1.189820393e-03	1.649609089e+00	3.930175900e-01
6.963881627e+08	4.361177688e+03	2.389510145e+02	8.303304269e-06	1.245698296e-03	1.650048852e+00	3.932121098e-01
6.963822592e+08	4.362873325e+03	2.527626553e+02	8.780121634e-06	1.304262701e-03	1.650459290e+00	3.933932781e-01
6.963763426e+08	4.364749365e+03	2.674003907e+02	9.284891096e-06	1.365599608e-03	1.650830507e+00	3.935559094e-01
6.963704133e+08	4.366824346e+03	2.829134038e+02	9.819198069e-06	1.429859782e-03	1.651150227e+00	3.936929703e-01
6.963644718e+08	4.369118563e+03	2.993532533e+02	1.038467404e-05	1.497191666e-03	1.651396632e+00	3.937929571e-01
6.963585184e+08	4.371654200e+03	3.167747620e+02	1.098304916e-05	1.567761143e-03	1.651535034e+00	3.938412964e-01
6.963525535e+08	4.374455467e+03	3.352357725e+02	1.161610131e-05	1.641742926e-03	1.651576281e+00	3.938432038e-01
6.963465776e+08	4.377548732e+03	3.547971472e+02	1.228568376e-05	1.719324921e-03	1.651540279e+00	3.938089311e-01
